"Ministry","Division","Organization","Procuring Entity Name","Procuring Entity Code","Procuring Entity District","Procurement Nature","Procurement Type","Event Type","Invitation for ","Invitation Reference No.","App ID","Tender/Proposal ID","Procurement Method ","Budget Type","Source of Funds","Project Code","Project Name","Tender/Proposal Package No. and Description","Category","Scheduled Tender/Proposal Publication Date and Time","Tender/Proposal Document last selling / downloading Date and Time","Eligibility of Tenderer","Brief Description of Works","Evaluation Type","Document Available","Document Fees","Tender/Proposal Document Price (In BDT) ","Mode of Payment","Tender/Proposal Security Valid Up to","Tender/Proposal Valid Up to","Lot No.","Identification of Lot","Location","Tender/Proposal security(Amount in BDT)","Tentative Start Date","Tentative Completion Date","Name of Official Inviting Tender/Proposal","Designation of Official Inviting Tender/Proposal","Address of Official Inviting Tender/Proposal","Address","City","Thana","District","Phone No","Fax No","Estimated Cost","Tender Link"
"Ministry of Home Affairs","","Prisons Directorate","Netrokona District Jail","","Netrokona","Goods","NCT","TENDER","Tender - Single Lot","58.04.7200.100.04.021.26-2654  Date-13/08/2026","225360","1318434","Open Tendering Method (OTM)","Revenue","Government","Not applicable","Not applicable","Jsntk/mis/articales/pa/3/26-27 Procurement of Miscellaneous Articles for Netrokona District jail, Package No-03 for the Period of July/2026 to June/2027","Food products and beverages;Animal products, meat and meat products;Meat;Animal wool, hides and skins;Meat products;Prepared and preserved fish;Fish fillets, fish livers and roe;Frozen fish, fish fillets and other fish meat;Dried or salted fish; fish in brine; smoked fish;Canned or tinned fish and other prepared or preserved fish;Seafood;Fruit, vegetables and related products;Potatoes and potato products;Fruit and vegetable juices;Fruit and vegetables;Animal or vegetable oils and fats;Crude animal or vegetable oils and fats;Refined oils and fats;Edible fats;Dairy products;Milk and cream;Butter;Cheese products;Assorted dairy products;Grain mill products, starches and starch products;Grain mill products;Starches and starch products;Animal feedstuffs;Prepared animal feeds for farm and other animals;Miscellaneous food products;Bread products, fresh pastry goods and cakes;Rusks and biscuits; preserved pastry goods and cakes;Sugar and related products;Cocoa; chocolate and sugar confectionery;Pasta products;Coffee, tea and related products;Condiments and seasonings;Special nutritional products;Miscellaneous food products n.e.c. and dried goods;Beverages;Distilled alcoholic beverages;Wines;Cider and other fruit wines;Non-distilled fermented beverages;Malt beer;Non-alcoholic beverages","13-Aug-2026 21:00","24-Aug-2026 12:15","a. All the Tenderer must follow the PPA,2006 and PPR,2025 Rules & Regulations. b) The Following documents are to be submitted/ uploaded as per standard tender document (STD). (i) The minimum of years of general experience of the Tenderer in the supply of Goods and related services as Supplier shall be 01 (One) years. i.e. years countingbackward from the date of publication of IFT in the e-GP System. (ii) The minimum specific experience as supplier in supply of similar Goods at least 01(One) contract successfully completed within the last 05 (Five) years, with a value of at least Tk. 2,00,000/-. Years counting backward from the date of publication of IFT in the e-GP System. The tenderer will submit copy of contract deeds along withexperience certificate in the e-GP system. (iii) The minimum amount of liquid assets i.e working capital or credit line(s), net of other contractual commitments shall be Tk.3,15,000/-.[Certificate must beissued between publication of IFT and submission date in the e-GP system. (iv) The tenderer must submit e-TIN certificate in the e-GP system. (v) Up-to-date Valid Trade License as supplier. (vi) Up-to-date Income Tax clearance certificate. (vii) e-BIN (13 Digits) Registration Certificate. (viii) Certificate of incorporation (in case of limited company). (ix) Manufacturer authorization letter or contract deed with the importers/manufacturer (if the bidder is supplier) [When Applicable]. (x) All certificates must be attested by 1st class Govt. gazette officer.","Procurement of Miscellaneous Articles for Netrokana District jail, Package No-03, for the Period of July/2026 to June/2027","Lot wise","Package wise","Package wise","500","Payment through Bank","20-Mar-2027","20-Mar-2027","1","Procurement of Miscellaneous Articles for Netrokona District jail, Package No-03 for the Period of July/2026 to June/2027","Netrokona District Jail","10000","01-Sep-2026","30-Jun-2027","Md. Abdullah Eibna Tofazzal Hossain Khan","Jail Super","Address : Netrokona District Jail, Netrokona City : Netrokona Thana : Netrakona Sadar District : Netrokona - 2400 Country : Bangladesh","Netrokona District Jail, Netrokona","Netrokona","Netrakona Sadar","Netrokona - 2400","0951-62360","","389000.00, OTM","https://www.eprocure.gov.bd/resources/common/ViewTender.jsp?id=1318434"
"Ministry of Road Transport and Bridges","Road Transport and Highways Division","Roads & Highways Department (RHD)","Sunamganj Road Division","sun001","Sunamganj","Goods","NCT","TENDER","Tender - Single Lot","02/e-GP/SUN/EE/RHD/2026-2027","229657","1318208","Open Tendering Method (OTM)","Revenue","Government","Not applicable","Not applicable","02/e-GP/SUN/EE/RHD/2026-2027 Supplying Skilled & Un-Skilled Labour for Bituminous Work & Jungle Cutting work at different Roads of Road Sub-Division Sunamganj under road division, sunamganj during the year 2026-2027.","Labour recruitment and provision of personnel services.; Architectural, engineering, construction, legal, accounting and other professional services; Placement services of personnel.; Supply services of personnel.; Recruitment services.; Personnel services except placement and supply services;","13-Aug-2026 21:30","24-Aug-2026 16:00","As Per TDS","Supplying Skilled & Un-Skilled Labour for Bituminous Work & Jungle Cutting work at different Roads of Road Sub-Division Sunamganj under road division, sunamganj during the year 2026-2027.","Lot wise","Package wise","Package wise","1000","Payment through Bank","20-Jan-2027","20-Jan-2027","1","Supplying Skilled & Un-Skilled Labour for Bituminous Work & Jungle Cutting work at different Roads of Road Sub-Division Sunamganj under road division, sunamganj during the year 2026-2027.","Road Sub-Division Sunamganj","55000","01-Sep-2026","30-Sep-2026","Mohammad Ahad Ullah","Executive Engineer","Address : Sunamganj Road Division Sarak Bhaban, Sunamganj City : Sunamganj Thana : Sunamganj Sadar District : Sunamganj - 0000 Country : Bangladesh","Sunamganj Road Division Sarak Bhaban, Sunamganj","Sunamganj","Sunamganj Sadar","Sunamganj - 0000","0871-55363","","2497000.00, OTM","https://www.eprocure.gov.bd/resources/common/ViewTender.jsp?id=1318208"
"Ministry of Industries","","Bangladesh Sugar and Food Industries Corporation (BSFIC)","Commercial Department- North Bengal Sugar Mills Ltd, Nator","","Natore","Goods","NCT","TENDER","Tender - Single Lot","NBSM/COM/Purchase-52/2026-27","230223","1318410","Open Tendering Method (OTM)","Own Fund","Own Fund","Not applicable","Not applicable","NBSM/COM/Purchase-52/2026-27 Supply of Corrugated Galvanized Iron sheet (CGI sheet) for North-bengal Sugar Mills Ltd","Basic metals and associated products; Basic metals; Tubes; Iron and steel products; Precious metals and metals clad with precious metals; Aluminium and aluminium products; Lead, zinc and tin products; Copper products; Non-ferrous metal products;Basic iron and steel;Steel alloy ingots;Carbon-steel products;Bars and rods;Railway-track construction materials;Slag, dross, ferrous waste and scrap;Iron tubes and fittings;Steel tubes and fittings;Cold drawn products;Cold-rolled products;Folded products;Wire and miscellaneous products;Ferro-alloys;Precious metals;Metals clad with precious metals;Unwrought aluminium;Aluminium products;Waste and scrap of aluminium;Lead, zinc and tin;Semi-finished products of lead, zinc or tin;Waste and scrap of lead, zinc or tin;Unwrought copper;Semi-finished products of copper;Waste and scrap of copper;Unwrought nickel;Nickel products;Waste and scrap of nickel","13-Aug-2026 22:30","30-Aug-2026 16:00","AS PER TENDER DOCUMENT","Supply of Corrugated Galvanized Iron sheet (CGI sheet) for North-bengal Sugar Mills Ltd","Lot wise","Package wise","Package wise","1500","Payment through Bank","26-Jan-2027","26-Jan-2027","1","Supply of Corrugated Galvanized Iron sheet (CGI sheet) for North-bengal Sugar Mills Ltd","Natore","55000","15-Oct-2026","15-Dec-2026","A. K. M. REJAUL KABIR","Manager (Commercial) -North Bengal Sugar Mills Ltd","Address : Gopalpur, Lalpur, Natore City : Natore Thana : Lalpur District : Natore - 6420 Country : Bangladesh","Gopalpur, Lalpur, Natore","Natore","Lalpur","Natore - 6420","07-72575022","","2805000.00, OTM","https://www.eprocure.gov.bd/resources/common/ViewTender.jsp?id=1318410"
"Ministry of Railways","","Bangladesh Railway","Office of the Chief Medical Officer (EAST), Chattogram","","Chattogram","Goods","NCT","TENDER","Tender - Single Lot","54.01.1500.113.07.001.2026-2027.RV","227755","1314956","Open Tendering Method (OTM)","Revenue","Government","Not applicable","Not applicable","GR..09. Procurement of Pathology Lab Reagents (Vidas kube)  for Chattogram Railway Hospital for FY. 2026-2027.","Medical and laboratory devices, optical and precision devices, watches and clocks, pharmaceuticals and related medical consumables;Medical devices;Imaging equipment for medical, dental and veterinary use;Functional exploration;Dentistry;Medical non-chemical consumables and haematological consumables;Therapy;Operating techniques;Anaesthesia and resuscitation;Functional support;Miscellaneous medical devices;Instruments and appliances for measuring, checking, testing and navigating;Navigational, meteorological, geological and geophysical instruments;Remote-control equipment;Precision balances, instruments for drawing, calculating and measuring length;Instruments for measuring quantities;Instruments for checking physical characteristics;Checking and testing apparatus;Regulating and controlling instruments and apparatus;Non-medical equipment based on the use of radiations;Industrial process control equipment;Optical instruments;Spectacles and lenses;Polarising material;Astronomical and optical instruments;Liquid crystal devices;Photographic equipment;Horological instruments;Watches and clocks","13-Aug-2026 23:58","24-Aug-2026 10:00","01. Manufacturer’s Authorization is required. The bidding firm must submit an exclusive authorization letter or distribution certificate directly issued and signed by the original manufacturer of the reagents; failing which, the tender shall be considered non-responsive. 02. As per TDS.","Procurement of Pathology Lab Reagents (Vidas kube) for Chattogram Railway Hospital for FY. 2026-2027.","Lot wise","Package wise","Package wise","1000","Payment through Bank","19-Jan-2027","19-Jan-2027","Single Lot","Procurement of Pathology Lab Reagents (Vidas kube)  for Chattogram Railway Hospital for FY. 2026-2027.","Office of the Chief Medical Officer East Bangladesh Railway Chattogram","40000","30-Aug-2026","30-Sep-2026","Tuhin Binte Halim","CMO (EAST)","Address : Office of the Chief Medical Officer (EAST), Bangladesh Railway, CRB, Chattogran City : Chattogram Thana : Banskhali District : Chattogram - 4000 Country : Bangladesh","Office of the Chief Medical Officer (EAST), Bangladesh Railway, CRB, Chattogran","Chattogram","Banskhali","Chattogram - 4000","031-2863165","","2000000.00, OTM","https://www.eprocure.gov.bd/resources/common/ViewTender.jsp?id=1314956"
"Ministry of Water Resources","","Water Resources Planning Organization","Engineering Section","","Dhaka","Goods","NCT","TENDER","Tender - Single Lot","42.02.0000.000.005.14.0008.26","230283","1318485","Open Tendering Method (OTM)","Development","Government","223054700","Preparation of National Water Resources Plan (NWRP)","NWRP/GD01 supply of computers and accessories","Word-processing machines; Office machinery, equipment and supplies except computers; Photocopying and printing equipment; Parts and accessories of typewriters and calculating machines; Office machinery, equipment and supplies except computers; Computer equipment and supplies;Data-processing machines;Digital cartography equipment;Computer hardware;Software;Computer systems;Servers","13-Aug-2026 22:00","30-Aug-2026 16:00","As per TDS","supply of computers and accessories (Computers, Printers, Toners, Photocopier, Scanners)","Lot wise","Package wise","Package wise","1000","Payment through Bank","26-Jan-2027","26-Jan-2027","Single lot","supply of computers and accessories","WARPO  Bhaban, 72  Green  Road","40000","15-Sep-2026","29-Oct-2026","Md Jahid Hossain","Principal  Scientific Officer","Address : WARPO Bhaban,
72 Green Road,
Dhaka-1215 City : Dhaka Thana : Dhaka North City Corporation District : Dhaka - 1215 Country : Bangladesh","","Dhaka","Dhaka North City Corporation","Dhaka - 1215","02-44819003","02-44819002","1500000.00, OTM","https://www.eprocure.gov.bd/resources/common/ViewTender.jsp?id=1318485"
"Ministry of Railways","","Bangladesh Railway","Office of the Chief Medical Officer (EAST), Chattogram","","Chattogram","Goods","NCT","TENDER","Tender - Single Lot","54.01.1500.007.01.26-27 RMF","227755","1314954","Open Tendering Method (OTM)","Revenue","Government","Not applicable","Not applicable","GR..08. Procurement of Pathology Lab Reagents (Maglumi -800, Snibe and Finecare)  for Dhaka and Chattogram Railway Hospital.","Medical and laboratory devices, optical and precision devices, watches and clocks, pharmaceuticals and related medical consumables;Medical devices;Imaging equipment for medical, dental and veterinary use;Functional exploration;Dentistry;Medical non-chemical consumables and haematological consumables;Therapy;Operating techniques;Anaesthesia and resuscitation;Functional support;Miscellaneous medical devices;Instruments and appliances for measuring, checking, testing and navigating;Navigational, meteorological, geological and geophysical instruments;Remote-control equipment;Precision balances, instruments for drawing, calculating and measuring length;Instruments for measuring quantities;Instruments for checking physical characteristics;Checking and testing apparatus;Regulating and controlling instruments and apparatus;Non-medical equipment based on the use of radiations;Industrial process control equipment;Optical instruments;Spectacles and lenses;Polarising material;Astronomical and optical instruments;Liquid crystal devices;Photographic equipment;Horological instruments;Watches and clocks","13-Aug-2026 23:58","24-Aug-2026 10:00","01. Manufacturer’s Authorization is  required. The bidding firm must submit an exclusive authorization letter or distribution certificate directly issued and signed by the original manufacturer of the reagents; failing which, the tender shall be considered non-responsive. 02. As per TDS.","Procurement of Pathology Lab Reagents (Maglumi -800, Snibe and Finecare) for Dhaka and Chattogram Railway Hospital.","Lot wise","Package wise","Package wise","1000","Payment through Bank","19-Jan-2027","19-Jan-2027","Single Lot","Procurement of Pathology Lab Reagents (Maglumi -800, Snibe and Finecare)  for Dhaka and Chattogram Railway Hospital.","CMO EAST","40000","25-Aug-2026","30-Sep-2026","Tuhin Binte Halim","CMO (EAST)","Address : Office of the Chief Medical Officer (EAST), Bangladesh Railway, CRB, Chattogran City : Chattogram Thana : Banskhali District : Chattogram - 4000 Country : Bangladesh","Office of the Chief Medical Officer (EAST), Bangladesh Railway, CRB, Chattogran","Chattogram","Banskhali","Chattogram - 4000","031-2863165","","2000000.00, OTM","https://www.eprocure.gov.bd/resources/common/ViewTender.jsp?id=1314954"
"Ministry of Education","Secondary and Higher Education Division","Gazipur Agricultural University","Office of the Sub-Project Manager under HEAT Project (12259)","","Gazipur","Goods","NCT","TENDER","Tender - Single Lot","GAU/PIN-12259/G-4/2026/12/64  Date:13.08.26","227734","1309645","Open Tendering Method (OTM)","Development","Aid or Grant","HEAT SP-12259","Strengthening Teaching-Learning Capacity of Bachelor of Science in Agriculture for Achieving Acceleration Excellence","GAU/PIN-12259/G-4 Supply and Installation of interactive flat panel, LED smart TV and sound system for class room, virtual class room, seminar room and meeting room.","Electrical machinery, apparatus, equipment and consumables; Electric motors, generators and transformers; Electricity distribution and control apparatus; Insulated wire and cable; Accumulators, primary cells and primary batteries; Lighting equipment and electric lamps; Electrical equipment and apparatus; Electrical equipment for engines and vehicles; Sound or visual signalling apparatus; Magnets; Machines and apparatus with individual functions; Insulating fittings; Carbon electrodes; Electrical parts of machinery or apparatus; Electrical supplies and accessories; Electronic, electromechanical and electrotechnical supplies;Electric motors;Generators;Alternators;Cooling towers;Ballasts for discharge lamps or tubes;Parts of electric motors, generators and transformers;Transformers;Electrical apparatus for switching or protecting electrical circuits;Electrical circuit components;Parts of electricity distribution or control apparatus;Mains;Power distribution cables;Coaxial cable;Insulated cable accessories;Electric conductors for data and control purposes;Primary cells;Primary batteries;Electric accumulators;Electric filament lamps;Lamps and light fittings;Parts of lamps and lighting equipment;Electronic equipment;Electromechanical equipment;Electrotechnical equipment","13-Aug-2026 22:55","30-Aug-2026 16:30","As per TDS","Supply and Installation of interactive flat panel, LED smart TV and sound system for class room, virtual class room, seminar room and meeting room.","Lot wise","Package wise","Package wise","2500","Payment through Bank","25-Jan-2027","25-Jan-2027","01","Supply and Installation of interactive flat panel, LED smart TV and sound system for class room, virtual class room, seminar room and meeting room.","SPM office HEAT SP 12259","175000","15-Sep-2026","30-Dec-2026","MD ABDUL BASET MIA","Professor","Address : Gazipur Agricultural University, Gazipur 1706 City : Gazipur Thana : Gazipur City Corporation District : Gazipur - 1706 Country : Bangladesh","Gazipur Agricultural University, Gazipur 1706","Gazipur","Gazipur City Corporation","Gazipur - 1706","0171-6028984","","6990000.00, OTM","https://www.eprocure.gov.bd/resources/common/ViewTender.jsp?id=1309645"
"Ministry of Industries","","Bangladesh Sugar and Food Industries Corporation (BSFIC)","Commercial Department- North Bengal Sugar Mills Ltd, Nator","","Natore","Goods","NCT","TENDER","Tender - Single Lot","NBSM/COM/Purchase-52/Hardware/2026-27","230223","1318560","Open Tendering Method (OTM)","Own Fund","Own Fund","Not applicable","Not applicable","NBSM/COM/Purchase-52/H/2026-27 Supply of 8 types  Hardwares","General-purpose machinery; Machinery, equipment, appliances, apparatus and associated products; Machine tools; Special-purpose machinery and parts; Machinery, equipment, appliances, apparatus and associated products; Miscellaneous equipment;Industrial or laboratory furnaces, incinerators and ovens;Lifting and handling equipment and parts;Cooling and ventilation equipment;Miscellaneous general-purpose machinery;Machine tools operated by laser and machining centres;Lathes, boring and milling machine tools;Metal-working machine tools;Machine tools for working hard materials except metals;Pneumatic or motorised hand tools;Soldering, brazing and welding tools, surface tempering and hot-spraying machines and equipment;Parts and accessories of machine tools;Machinery for metallurgy and associated parts;Machinery for mining, quarrying and construction;Machinery for food, beverage and tobacco processing and associated parts;Machinery for textile, apparel and leather production;Machinery for paper or paperboard production;Miscellaneous special-purpose machinery;Transport related equipment;Workshop equipment;Construction equipment;Catering equipment;Emergency and security equipment;Technical equipment;Miscellaneous equipment n.e.c.","13-Aug-2026 22:30","30-Aug-2026 16:00","As per Tender documents","Supply of 8(eight) Types Hardware","Lot wise","Package wise","Package wise","1000","Payment through Bank","26-Jan-2027","26-Jan-2027","1","Supply of 8type  Hardware","Natore","30000","15-Sep-2026","30-Sep-2026","A. K. M. REJAUL KABIR","Manager (Commercial) -North Bengal Sugar Mills Ltd","Address : Gopalpur, Lalpur, Natore City : Natore Thana : Lalpur District : Natore - 6420 Country : Bangladesh","Gopalpur, Lalpur, Natore","Natore","Lalpur","Natore - 6420","07-72575022","","1300000.00, OTM","https://www.eprocure.gov.bd/resources/common/ViewTender.jsp?id=1318560"
"Ministry of Health and Family Welfare","","Health Engineering Department (HED)","Health Engineering Department (HED) Head Office","","Dhaka","Works","NCT","TENDER","Tender - Single Lot","45.02.0000.001.07.053.26-212","229326","1314565","Open Tendering Method (OTM)","Own Fund","Own Fund","Not applicable","Not applicable","WP-01/PCB/26-27/HED Renovation and Upgradation Works including Civil, Architectural, Furniture & Internal Electrification, Plumbing & Sanitary, Fire Protection, Fire Detection and Alarm System, PABX, CCTV Surveillance System, Digital Conference System and Networking Works of 4th to 7th Floors of Pharmacy Council Building at Banglamotor, Dhaka.","Construction work; Site preparation work; Works for complete or part construction and civil engineering work; Building installation work; Building completion work; Hire of construction and civil engineering machinery and equipment with operator;Building demolition and wrecking work and earthmoving work;Test drilling and boring work;Building construction work;Engineering works and construction works;Construction work for pipelines, communication and power lines, for highways, roads, airfields and railways; flatwork;Construction work for water projects;Construction works for plants, mining and manufacturing and for buildings relating to the oil and gas industry;Roof works and other special trade construction works;Electrical installation work;Insulation work;Plumbing and sanitary works;Fencing, railing and safety equipment installation work;Mechanical installations;Plastering work;Joinery and carpentry installation work;Floor and wall covering work;Painting and glazing work;Other building completion work;Hire of cranes with operator;Hire of earthmoving equipment with operator","13-Aug-2026 20:01","06-Sep-2026 16:00","1. The minimum number of years of general experience of the Tenderer in the construction works as Prime Contractor or Subcontractor or Management Contractor shall be 5 (Five) years . i.e. years counting backward from the date of publication of IFT in the News Paper. a. The minimum specific experience as a Prime Contractor or Subcontractor or Management Contractor in construction works of at least one (1) number of similar contracts completed during last 5 (Five) years. b. Similar nature of work means completion of multi-storied building with R.C.C frame Structure valued at least Tk. 340.00 (Three Hundred and Forty) lac in a single Contract under Public fund. This is to be supported by work order/ NOA & completion certificate. Private Works or works done by any Developer or Real Estate Company will not be considered. 2. The required Average Annual Construction Turnover shall be minimum Tk. 650.00 (Six Hundred and Fifty) lac over the period of last 05 (Five) years i,e years counting backward from the date of publication of IFT in the newspaper. Average Annual Construction Turnover i,e total certified payments received for works related contracts in progress or works completed under public sector shall only be considered. Private works, payments received for Goods & Services will not be taken into account. 3. The minimum amount of Liquid Assets i.e. working capital or credit facilities of the Tenderer shall be Tk. 170.00 (One Hundred and Seventy) Lac. The liquid asset certificate issued before IFT will not be considered for evaluation. 4. The minimum Tender Capacity shall be TK. 380.00 (Three Hundred and Eighty) Lac.","Renovation and Upgradation Works including Civil, Architectural, Furniture & Internal Electrification, Plumbing & Sanitary, Fire Protection, Fire Detection and Alarm System, PABX, CCTV Surveillance System, Digital Conference System and Networking Works of 4th to 7th Floors of Pharmacy Council Building at Banglamotor, Dhaka.","Lot wise","Package wise","Package wise","4000","Payment through Bank","02-Feb-2027","02-Feb-2027","1","Renovation and Upgradation Works including Civil, Architectural, Furniture & Internal Electrification, Plumbing & Sanitary, Fire Protection, Fire Detection and Alarm System, PABX, CCTV Surveillance System, Digital Conference System and Networking Works of 4th to 7th Floors of Pharmacy Council Building at Banglamotor, Dhaka.","Dhaka","1200000","24-Sep-2026","24-Jun-2027","Md Rafiqul Islam Sarker","Chief Engineer","Address : Health Engineering Department (HED) Head Office,
Plot no: F-14/F-1, Agargaon, Sher-e-Bangla Nagar, Dhaka-1207. City : Dhaka Thana : Dhaka North City Corporation District : Dhaka - 1207 Country : Bangladesh","","Dhaka","Dhaka North City Corporation","Dhaka - 1207","02-223375169","","51029808.56, OTM","https://www.eprocure.gov.bd/resources/common/ViewTender.jsp?id=1314565"
"Ministry of Road Transport and Bridges","Road Transport and Highways Division","Roads & Highways Department (RHD)","Khulna Road Division","khuRD0001","Khulna","Works","NCT","TENDER","Tender - Single Lot","02/e-GP/OTM/PMP-Major-Road/KRD/2025-2026","229024","1316410","Open Tendering Method (OTM)","Revenue","Government","Not applicable","Not applicable","02/e-GP/OTM/PMP-Major-Road/KRD/2025-2026 Periodic Maintenance Programme (PMP-Major Road) Providing by Construction of Rigid Pavement at Ch: 7+200 (Hogladanga) to 8+618 , 8+646 to 9+408 and  9+483 to 9+500 (Koya Bazar)  (Total Length = 2197.00m) of  Khulna - Chuknagar - Satkhira National  Highway Road (N-760) under Khulna  Road Division during the year 2026-2027.","Construction work;Site preparation work;Building demolition and wrecking work and earthmoving work;Test drilling and boring work;Works for complete or part construction and civil engineering work;Building construction work;Engineering works and construction works;Construction work for pipelines, communication and power lines, for highways, roads, airfields and railways; flatwork;Construction work for water projects;Construction works for plants, mining and manufacturing and for buildings relating to the oil and gas industry;Roof works and other special trade construction works;Building installation work;Electrical installation work;Insulation work;Plumbing and sanitary works;Fencing, railing and safety equipment installation work;Mechanical installations;Building completion work;Plastering work;Joinery and carpentry installation work;Floor and wall covering work;Painting and glazing work;Other building completion work;Hire of construction and civil engineering machinery and equipment with operator;Hire of cranes with operator;Hire of earthmoving equipment with operator","13-Aug-2026 21:00","09-Sep-2026 15:00","1. The minimum number of years of general experience of the Tenderer in the construction works as Prime Contractor shall be 3 (Three) years. 2. The minimum specific experience as a contractor of Maximum 2 (Two) contracts Rigid Pavement works successfully completed within last 20 years with a value of at least Tk. 13.00 (Thirteen) crore only. 3. The required average annual construction turnover shall be greater than Tk. 25.00 (Twenty) crore over the last 05 (Five) years. 4. The minimum liquid assets shall be greater than Tk. 8.00 (Eight) Crore. 5. The Tenders shall have The Minimum Tender Capacity of Tk. 18.00 (Eighteen) Crore only.","Periodic Maintenance Programme (PMP-Major Road) Providing by Construction of Rigid Pavement at Ch: 7+200 (Hogladanga) to 8+618 , 8+646 to 9+408 and 9+483 to 9+500 (Koya Bazar) (Total Length = 2197.00m) of Khulna - Chuknagar - Satkhira National Highway Road (N-760) under Khulna Road Division during the year 2026-2027.","Lot wise","Package wise","Package wise","5000","Payment through Bank","07-Mar-2027","07-Mar-2027","Single Lot.","Periodic Maintenance Programme (PMP-Major Road) Providing by Construction of Rigid Pavement at Ch: 7+200 (Hogladanga) to 8+618 , 8+646 to 9+408 and  9+483 to 9+500 (Koya Bazar)  (Total Length = 2197.00m) of  Khulna - Chuknagar - Satkhira National  Highway Road (N-760) under Khulna  Road Division during the year 2026-2027.","As Per Identification of Lot","7500000","01-Oct-2026","30-Jun-2027","Md Tanimul Hoque","Executive Engineer","Address : Khulna Road Division, Sarak Bhaban, Khulna City : Khulna Thana : Khulna City Corporation District : Khulna - 0000 Country : Bangladesh","Khulna Road Division, Sarak Bhaban, Khulna","Khulna","Khulna City Corporation","Khulna - 0000","041-720678","","255121407.83, OTM","https://www.eprocure.gov.bd/resources/common/ViewTender.jsp?id=1316410"
