"Ministry","Division","Organization","Procuring Entity Name","Procuring Entity Code","Procuring Entity District","Procurement Nature","Procurement Type","Event Type","Invitation for ","Invitation Reference No.","App ID","Tender/Proposal ID","Procurement Method ","Budget Type","Source of Funds","Project Code","Project Name","Tender/Proposal Package No. and Description","Category","Scheduled Tender/Proposal Publication Date and Time","Tender/Proposal Document last selling / downloading Date and Time","Eligibility of Tenderer","Brief Description of Works","Evaluation Type","Document Available","Document Fees","Tender/Proposal Document Price (In BDT) ","Mode of Payment","Tender/Proposal Security Valid Up to","Tender/Proposal Valid Up to","Lot No.","Identification of Lot","Location","Tender/Proposal security(Amount in BDT)","Tentative Start Date","Tentative Completion Date","Name of Official Inviting Tender/Proposal","Designation of Official Inviting Tender/Proposal","Address of Official Inviting Tender/Proposal","Address","City","Thana","District","Phone No","Fax No","Estimated Cost","Tender Link"
"Ministry of Local Government","Rural Development and Co-operatives","Department of Public Health Engineering (DPHE)","Office of the Executive Engineer,DPHE, R & D Division","","Dhaka","Works","NCT","TENDER","Tender - Single Lot","46.03.0000.000.083.07.0043.26-301","232350","1333194","Open Tendering Method (OTM)","Revenue","Government","Not applicable","Not applicable","RND/Emergency/26-27/Works-003 Emergency Response Solar Based Community Water Supply at Satkania upazila in Chattogram District.","Site preparation work; Construction work; Works for complete or part construction and civil engineering work;Building demolition and wrecking work and earthmoving work;Test drilling and boring work;Building construction work;Engineering works and construction works;Construction work for pipelines, communication and power lines, for highways, roads, airfields and railways; flatwork;Construction work for water projects;Construction works for plants, mining and manufacturing and for buildings relating to the oil and gas industry;Roof works and other special trade construction works","14-Sep-2026 20:20","22-Sep-2026 14:00","1. Valid Trade License and updated VAT Certificate. 2. Income Tax clearance certificate for the last assessment year with Tax Return Submission Received Copy along with E-Tin Certificate. 3. Average annual turn over and similar work experience as stated in TDS. 4. Bank statement with solvency/credit commitment certificate as stated in TDS. 5. Original manufacturer's authorization letter. 6. Any false document will instantly disqualify the bidder and strict action will be taken against the bidder as per PPR-2025","Emergency Response Solar Based Community Water Supply at Satkania upazila in Chattogram District.","Lot wise","Package wise","Package wise","1000","Payment through Bank","18-Jan-2027","18-Jan-2027","01","Emergency Response Solar Based Community Water Supply at Satkania upazila in Chattogram District.","Satkania upazila of Chattogram","60000","11-Oct-2026","13-Dec-2026","Sushanta Roy","Executive Engineer","Address : Office of the Executive Engineer,DPHE, R & D Division,Kakrail,Dhaka City : Dhaka Thana : Dhaka South City Corporation District : Dhaka - 1000 Country : Bangladesh","Office of the Executive Engineer,DPHE, R & D Division,Kakrail,Dhaka","Dhaka","Dhaka South City Corporation","Dhaka - 1000","02-9330061","","2000000.00, OTM","https://www.eprocure.gov.bd/resources/common/ViewTender.jsp?id=1333194"
"Ministry of Shipping","","Chittagong Port Authority","Executive Engineer_CCP","","Chattogram","Works","NCT","TENDER","Tender - Single Lot","18.13.000.0000.328.07.0026.26","216404","1329856","Open Tendering Method (OTM)","Own Fund","Own Fund","Not applicable","Not applicable","18.13.000.0000.328.07.0026.26 Construction of Covered Van Terminal Zone-2 in the acquired land outside Bay Terminal area.","Construction work;Site preparation work;Building demolition and wrecking work and earthmoving work;Test drilling and boring work;Works for complete or part construction and civil engineering work;Building construction work;Engineering works and construction works;Construction work for pipelines, communication and power lines, for highways, roads, airfields and railways; flatwork;Construction work for water projects;Construction works for plants, mining and manufacturing and for buildings relating to the oil and gas industry;Roof works and other special trade construction works;Building installation work;Electrical installation work;Insulation work;Plumbing and sanitary works;Fencing, railing and safety equipment installation work;Mechanical installations;Building completion work;Plastering work;Joinery and carpentry installation work;Floor and wall covering work;Painting and glazing work;Other building completion work;Hire of construction and civil engineering machinery and equipment with operator;Hire of cranes with operator;Hire of earthmoving equipment with operator","14-Sep-2026 20:00","14-Oct-2026 20:00","All contractors registered in the e-GP portal who have: a. The minimum number of years of general experience of the Tenderer in the construction works as Prime Contractor shall be 5(Five) years. b. The minimum specific experience as a Prime Contractor in construction works of at least 1(One) contract of similar nature (HBB Truck Terminal) successfully completed in Government/Semi-Government/Autonomous organization of Bangladesh within the last 5 (Five) years, with a value of at least Tk.11.00 (Eleven) Crore. Last 5 (Five) years will be counted backward from the date of publication of Tender Notice. c. The required average annual construction turnover shall be greater than Tk.32.00 (Thirty Two) Crore over the best 3 (Three) years in the last 5 (Five) years. Last 5 (Five) years will be counted backward from the date of publication of Tender Notice. Best 3 years of the last 5 years will be counted. d. The minimum amount of liquid assets i,e working capital or credit line(s) of the Tenderers shall be Tk.10.00 (Ten) Crore e. In addition to these the contractor has to comply by the required experience/documents stated in TDS, PCC, and Tender Forms.","Construction of Covered Van Terminal Zone-2 in the acquired land outside Bay Terminal area.","Lot wise","Package wise","Package wise","5000","Payment through Bank","12-Mar-2027","12-Mar-2027","01","Construction of Covered Van Terminal Zone-2 in the acquired land outside Bay Terminal area.","Chittagong","4500000","01-Nov-2026","29-Apr-2027","Rafiul Alam","Executive Engineer_CCP","Address : Room # 216, Annex Building, PAB, CPA City : Chittagong Thana : Chattogram City Corporation District : Chattogram - 4100 Country : Bangladesh","Room # 216, Annex Building, PAB, CPA","Chittagong","Chattogram City Corporation","Chattogram - 4100","031-2512556","031-2510889","150000000.00, OTM","https://www.eprocure.gov.bd/resources/common/ViewTender.jsp?id=1329856"
"Ministry of Road Transport and Bridges","Road Transport and Highways Division","Roads & Highways Department (RHD)","Kishoreganj  Road Division","kis001","Kishoreganj","Works","NCT","TENDER","Tender - Single Lot","e-GP/06/EE/KRD/2026-27","227969","1329896","Open Tendering Method (OTM)","Revenue","Government","Not applicable","Not applicable","e-GP/06/EE/KRD/2026-27 Repair of Potholes, Edge Breaking, Carpeting, Seal coat and HBB work at 2nd (p) and 3rd  (p ) km of Nandail-Atharabari- Kendua (Z-3608) Road under kishoreganj Road  Division during the year 2026-2027.","Repair, maintenance and associated services related to roads and other equipment; Repair, maintenance and associated services related to aircraft, railways, roads and marine equipment;","14-Sep-2026 19:35","27-Sep-2026 16:00","All tenderers except Israel who have registered in e-GP system may participate in the tender provided that they fulfill the criteria as stated in Tender Document. The following conditions shall be considered: 1. The Tenders shall be evaluated in the e-GP system with the help of necessary database (If Required). 2. Tenderers are requested to submit only necessary documents to qualify for eligibility criteria. They are discouraged to submit unnecessary additional documents. 3.The tender will be evaluated as per submitted documents. If any dissimilarity found in documents submitted by tenderers at any stage of evaluation process, the tenderers will be considered non-Responsive. 4. Any non submission of ongoing work or any other information that affect the tender evaluation will be considered as non-eligibility of the tenderer. 5. The tenderers will have to submit year wise payment list in individual folder. 6. The tenderers will have to submit list of ongoing works of RHD/other organization in individual folder. 7.Tenderer will have to submit the calculated tender capacity along with Supporting documents . 8. If the total quoted price is more than 10% (Ten percent) less or above than the Engineer's Estimate, the tenderer shall submit item wise Analysis of Rates in support of his quoted rate. 9. If corrupt, fraudulent, collusive, coercive or obstructive practices of any kind are determined against any tenderer, measures will be taken as per law","Repair of Potholes, Edge Breaking, Carpeting, Seal coat and HBB work at 2nd (p) and 3rd (p ) km of Nandail-Atharabari- Kendua (Z-3608) Road under kishoreganj Road Division during the year 2026-2027.","Lot wise","Package wise","Package wise","1500","Payment through Bank","25-Mar-2027","25-Mar-2027","01","Repair of Potholes, Edge Breaking, Carpeting, Seal coat and HBB work at 2nd (p) and 3rd  (p ) km of Nandail-Atharabari- Kendua (Z-3608) Road under kishoreganj Road  Division during the year 2026-2027.","Nandail-Atharabari-Kendoa-Road","125000","29-Nov-2026","30-Dec-2026","SAKIL MOHAMMAD FAYSAL","Executive Engineer","Address : Kishoreganj  Road Division, Sarak Bhaban, Kishoreganj City : Kishoreganj Thana : Kishoreganj Sadar District : Kishoreganj - 0000 Country : Bangladesh","Kishoreganj  Road Division, Sarak Bhaban, Kishoreganj","Kishoreganj","Kishoreganj Sadar","Kishoreganj - 0000","0941-55405","","4913100.00, OTM","https://www.eprocure.gov.bd/resources/common/ViewTender.jsp?id=1329896"
"Ministry of Health and Family Welfare","Health Services Division","Directorate General of Health Services (DGHS)","Kaliganj Upazila Health Complex, Jhenaidah","","Jhenaidah","Goods","NCT","TENDER","Tender - Single Lot","UHC/Kaliganj/2026/791","230917","1324937","Open Tendering Method (OTM)","Revenue","Government","Not applicable","Not applicable","UHC/Kaliganj/Furniture/2026-27/GR-6 Procurement of MSR Medical Furniture items for the FY 2026-2027 at Kaliganj Upazila Health Complex, Jhenaidah","Medical and laboratory devices, optical and precision devices, watches and clocks, pharmaceuticals and related medical consumables; Health and social work services;Medical devices;Imaging equipment for medical, dental and veterinary use;Functional exploration;Dentistry;Medical non-chemical consumables and haematological consumables;Therapy;Operating techniques;Anaesthesia and resuscitation;Functional support;Miscellaneous medical devices;Instruments and appliances for measuring, checking, testing and navigating;Navigational, meteorological, geological and geophysical instruments;Remote-control equipment;Precision balances, instruments for drawing, calculating and measuring length;Instruments for measuring quantities;Instruments for checking physical characteristics;Checking and testing apparatus;Regulating and controlling instruments and apparatus;Non-medical equipment based on the use of radiations;Industrial process control equipment;Optical instruments;Spectacles and lenses;Polarising material;Astronomical and optical instruments;Liquid crystal devices;Photographic equipment;Horological instruments;Watches and clocks;Health services;Hospital and related services;Medical practice and related services;Dental practice and related services;Miscellaneous health services;Veterinary services;Social work and related services;Social work services;Social services","14-Sep-2026 19:22","27-Sep-2026 16:00","as per tender documents","Procurement of MSR Medical Furniture items","Lot wise","Package wise","Package wise","500","Payment through Bank","23-Feb-2027","23-Feb-2027","1","Procurement of MSR Medical Furniture items for the FY 2026-2027 at Kaliganj Upazila Health Complex, Jhenaida","Upazila Health Complex, Kaliganj, Jhenaidah","10000","07-Oct-2026","24-Nov-2026","MD. AMANULLAH-AL-MAMUN","UH&FPO","Address : Upazila Health Complex, Kaliganj, Jhenaidah City : Kaliganj Thana : Kaliganj District : Jhenaidah - 7350 Country : Bangladesh","Upazila Health Complex, Kaliganj, Jhenaidah","Kaliganj","Kaliganj","Jhenaidah - 7350","04523-56222","","414646.00, OTM","https://www.eprocure.gov.bd/resources/common/ViewTender.jsp?id=1324937"
"Ministry of Road Transport and Bridges","Road Transport and Highways Division","Roads & Highways Department (RHD)","Workshop Division, Tejgaon, Dhaka","workdivtej","Dhaka","Works","NCT","TENDER","Tender - Single Lot","SEWdha,Memo No-107, Date:13-09-2026;","230057","1332100","Open Tendering Method (OTM)","Revenue","Government","Not applicable","Not applicable","89/e-GP/EE/WDDha/2026-2027 Overhauling, Repair, Installation, Testing and Commissioning of Diesel Generator Sets (4 Ã? 800 kVA, 2 Ã? 400 kVA, 1 Ã? 50 kVA and 1 Ã? 60 kVA) at Sarak Bhaban, DTCA Building, Workshop Compound and Steel Building, Including Generator Control and Protection Systems, Protective Relay and AMF/ATS Systems, Electrical Distribution and Cable Network, Earthing, Fuel Supply, Cooling, Exhaust and Associated Works under Workshop Division  during the Fiscal Year 2026â??2027.","Generators; Electric motors, generators and transformers;","14-Sep-2026 19:00","27-Sep-2026 17:00","All tenderers regardless of whether enlisted or not enlisted with the employer may submit Tenders provided that they are qualified as per Qualification Criteria Specified in the Tender Data Sheet (TDS) of the Tender Document.","Overhauling, Repair, Installation, Testing and Commissioning of Diesel Generator Sets (4 * 800 kVA, 2* 400 kVA, 1* 50 kVA and 1* 60 kVA) at Sarak Bhaban, DTCA Building, Workshop Compound and Steel Building, Including Generator Control and Protection Systems, Protective Relay and AMF/ATS Systems, Electrical Distribution and Cable Network, Earthing, Fuel Supply, Cooling, Exhaust and Associated Works.","Lot wise","Package wise","Package wise","2500","Payment through Bank","23-Feb-2027","23-Feb-2027","89","Overhauling, Repair, Installation, Testing and Commissioning of Diesel Generator Sets (4 Ã? 800 kVA, 2 Ã? 400 kVA, 1 Ã? 50 kVA and 1 Ã? 60 kVA) at Sarak Bhaban, DTCA Building, Workshop Compound and Steel Building, Including Generator Control and Protection Systems, Protective Relay and AMF/ATS Systems, Electrical Distribution and Cable Network, Earthing, Fuel Supply, Cooling, Exhaust and Associated Works under Workshop Division  during the Fiscal Year 2026â??2027.","Sarak bhaban, Tejgaon Dhaka","268000","22-Oct-2026","22-Nov-2026","MD. ATAUR RAHMAN MOHOSIN","Executive Engineer","Address : Workshop Division, Tejgaon, Dhaka City : Dhaka Thana : Dhaka North City Corporation District : Dhaka - 1000 Country : Bangladesh","Workshop Division, Tejgaon, Dhaka","Dhaka","Dhaka North City Corporation","Dhaka - 1000","02-9880391","","9700000.00, OTM","https://www.eprocure.gov.bd/resources/common/ViewTender.jsp?id=1332100"
"Ministry of Health and Family Welfare","Health Services Division","Directorate General of Health Services (DGHS)","Kaliganj Upazila Health Complex, Jhenaidah","","Jhenaidah","Goods","NCT","TENDER","Tender - Single Lot","UHC/Kaliganj/2026/786","230917","1324932","Open Tendering Method (OTM)","Revenue","Government","Not applicable","Not applicable","UHC/Kaliganj/Medicine/2026-27/GR-1 Procurement of Non EDCL Medicine for the FY 2026-2027 at Kaliganj Upazila Health Complex, Jhenaidah","Medical and laboratory devices, optical and precision devices, watches and clocks, pharmaceuticals and related medical consumables; Health and social work services;Medical devices;Imaging equipment for medical, dental and veterinary use;Functional exploration;Dentistry;Medical non-chemical consumables and haematological consumables;Therapy;Operating techniques;Anaesthesia and resuscitation;Functional support;Miscellaneous medical devices;Instruments and appliances for measuring, checking, testing and navigating;Navigational, meteorological, geological and geophysical instruments;Remote-control equipment;Precision balances, instruments for drawing, calculating and measuring length;Instruments for measuring quantities;Instruments for checking physical characteristics;Checking and testing apparatus;Regulating and controlling instruments and apparatus;Non-medical equipment based on the use of radiations;Industrial process control equipment;Optical instruments;Spectacles and lenses;Polarising material;Astronomical and optical instruments;Liquid crystal devices;Photographic equipment;Horological instruments;Watches and clocks;Health services;Hospital and related services;Medical practice and related services;Dental practice and related services;Miscellaneous health services;Veterinary services;Social work and related services;Social work services;Social services","14-Sep-2026 19:57","27-Sep-2026 16:00","As per tender documents","Procurement of Non EDCL Medicine","Lot wise","Package wise","Package wise","1500","Payment through Bank","23-Feb-2027","23-Feb-2027","1","Procurement of Non EDCL Medicine for the FY 2026-2027 at Kaliganj Upazila Health Complex, Jhenaidah","Kaliganj Upazila Health Complex, Jhenaidah","100000","07-Oct-2026","29-Dec-2026","MD. AMANULLAH-AL-MAMUN","UH&FPO","Address : Upazila Health Complex, Kaliganj, Jhenaidah City : Kaliganj Thana : Kaliganj District : Jhenaidah - 7350 Country : Bangladesh","Upazila Health Complex, Kaliganj, Jhenaidah","Kaliganj","Kaliganj","Jhenaidah - 7350","04523-56222","","Not Found","https://www.eprocure.gov.bd/resources/common/ViewTender.jsp?id=1324932"
"Ministry of Health and Family Welfare","Health Services Division","Directorate General of Health Services (DGHS)","Pirganj Upazila Health Complex , Rangpur","","Rangpur","Goods (Framework Agreement)","NCT","TENDER","Tender - Single Lot","UHC-Pirganj-FY-26-27-GD-8","228841","1333543","Open Tendering Method (OTM)","Revenue","Government","Not applicable","Not applicable","UHC-Pirganj-FY-26-27-GD-8 Supply of Cleaning and Washing Items","Medical and laboratory devices, optical and precision devices, watches and clocks, pharmaceuticals and related medical consumables;Medical devices;Imaging equipment for medical, dental and veterinary use;Functional exploration;Dentistry;Medical non-chemical consumables and haematological consumables;Therapy;Operating techniques;Anaesthesia and resuscitation;Functional support;Miscellaneous medical devices;Instruments and appliances for measuring, checking, testing and navigating;Navigational, meteorological, geological and geophysical instruments;Remote-control equipment;Precision balances, instruments for drawing, calculating and measuring length;Instruments for measuring quantities;Instruments for checking physical characteristics;Checking and testing apparatus;Regulating and controlling instruments and apparatus;Non-medical equipment based on the use of radiations;Industrial process control equipment;Optical instruments;Spectacles and lenses;Polarising material;Astronomical and optical instruments;Liquid crystal devices;Photographic equipment;Horological instruments;Watches and clocks","14-Sep-2026 18:30","27-Sep-2026 12:47","As per Tender Document.","Supply of Cleaning and Washing Items","Lot wise","Package wise","Package wise","500","Payment through Bank","22-Feb-2027","22-Feb-2027","01","Supply of Cleaning and Washing Items","PE Office","15000","04-Oct-2026","30-Sep-2027","Md Masud Rana","UH&FPO","Address : Pirganj Upazila Health Complex, Pirganj, Rangpur City : Pirganj Thana : Pirganj District : Rangpur - 5470 Country : Bangladesh","Pirganj Upazila Health Complex, Pirganj, Rangpur","Pirganj","Pirganj","Rangpur - 5470","05227-56012","","750000.00, OTM","https://www.eprocure.gov.bd/resources/common/ViewTender.jsp?id=1333543"
"Ministry of Health and Family Welfare","Health Services Division","Directorate General of Health Services (DGHS)","Kaliganj Upazila Health Complex, Jhenaidah","","Jhenaidah","Goods","NCT","TENDER","Tender - Single Lot","UHC/Kaliganj/2026/788","230917","1324934","Open Tendering Method (OTM)","Revenue","Government","Not applicable","Not applicable","UHC/Kaliganj/Linen/2026-27/GR-3 Procurement of MSR Linen Items for the FY 2026-2027 at Kaliganj Upazila Health Complex, Jhenaidah","Medical and laboratory devices, optical and precision devices, watches and clocks, pharmaceuticals and related medical consumables; Health and social work services;Medical devices;Imaging equipment for medical, dental and veterinary use;Functional exploration;Dentistry;Medical non-chemical consumables and haematological consumables;Therapy;Operating techniques;Anaesthesia and resuscitation;Functional support;Miscellaneous medical devices;Instruments and appliances for measuring, checking, testing and navigating;Navigational, meteorological, geological and geophysical instruments;Remote-control equipment;Precision balances, instruments for drawing, calculating and measuring length;Instruments for measuring quantities;Instruments for checking physical characteristics;Checking and testing apparatus;Regulating and controlling instruments and apparatus;Non-medical equipment based on the use of radiations;Industrial process control equipment;Optical instruments;Spectacles and lenses;Polarising material;Astronomical and optical instruments;Liquid crystal devices;Photographic equipment;Horological instruments;Watches and clocks;Health services;Hospital and related services;Medical practice and related services;Dental practice and related services;Miscellaneous health services;Veterinary services;Social work and related services;Social work services;Social services","14-Sep-2026 19:42","27-Sep-2026 16:00","As per tender documents","Procurement of MSR Linen Items","Lot wise","Package wise","Package wise","1000","Payment through Bank","23-Feb-2027","23-Feb-2027","1","Procurement of MSR Linen Items for the FY 2026-2027 at Kaliganj Upazila Health Complex, Jhenaidah","Kaliganj Upazila Health Complex, Jhenaidah","30000","07-Oct-2026","25-Nov-2026","MD. AMANULLAH-AL-MAMUN","UH&FPO","Address : Upazila Health Complex, Kaliganj, Jhenaidah City : Kaliganj Thana : Kaliganj District : Jhenaidah - 7350 Country : Bangladesh","Upazila Health Complex, Kaliganj, Jhenaidah","Kaliganj","Kaliganj","Jhenaidah - 7350","04523-56222","","Not Found","https://www.eprocure.gov.bd/resources/common/ViewTender.jsp?id=1324934"
"Ministry of Health and Family Welfare","Health Services Division","Directorate General of Health Services (DGHS)","Kaliganj Upazila Health Complex, Jhenaidah","","Jhenaidah","Goods","NCT","TENDER","Tender - Single Lot","UHC/Kaliganj/2026/787","230917","1324933","Open Tendering Method (OTM)","Revenue","Government","Not applicable","Not applicable","UHC/Kaliganj/Equipment/2026-27/GR-2 Procurement of MSR Surgical Equipment for the FY 2026-2027 at Kaliganj Upazila Health Complex, Jhenaidah","Medical and laboratory devices, optical and precision devices, watches and clocks, pharmaceuticals and related medical consumables; Health and social work services;Medical devices;Imaging equipment for medical, dental and veterinary use;Functional exploration;Dentistry;Medical non-chemical consumables and haematological consumables;Therapy;Operating techniques;Anaesthesia and resuscitation;Functional support;Miscellaneous medical devices;Instruments and appliances for measuring, checking, testing and navigating;Navigational, meteorological, geological and geophysical instruments;Remote-control equipment;Precision balances, instruments for drawing, calculating and measuring length;Instruments for measuring quantities;Instruments for checking physical characteristics;Checking and testing apparatus;Regulating and controlling instruments and apparatus;Non-medical equipment based on the use of radiations;Industrial process control equipment;Optical instruments;Spectacles and lenses;Polarising material;Astronomical and optical instruments;Liquid crystal devices;Photographic equipment;Horological instruments;Watches and clocks;Health services;Hospital and related services;Medical practice and related services;Dental practice and related services;Miscellaneous health services;Veterinary services;Social work and related services;Social work services;Social services","14-Sep-2026 19:48","27-Sep-2026 16:00","As per tender document","Procurement of MSR Surgical Equipment","Lot wise","Package wise","Package wise","1000","Payment through Bank","23-Feb-2027","23-Feb-2027","1","Procurement of MSR Surgical Equipment for the FY 2026-2027 at Kaliganj Upazila Health Complex, Jhenaidah","Upazila Health Complex, Kaliganj","50000","07-Oct-2026","26-Nov-2026","MD. AMANULLAH-AL-MAMUN","UH&FPO","Address : Upazila Health Complex, Kaliganj, Jhenaidah City : Kaliganj Thana : Kaliganj District : Jhenaidah - 7350 Country : Bangladesh","Upazila Health Complex, Kaliganj, Jhenaidah","Kaliganj","Kaliganj","Jhenaidah - 7350","04523-56222","","2073230.00, OTM","https://www.eprocure.gov.bd/resources/common/ViewTender.jsp?id=1324933"
"Ministry of Agriculture","","Department of Agricultural Extension (DAE)","Bangladesh Sustainable Recovery, Emergency Preparedness and Response Project (B-STRONG)-Agricultural System Restoration Component","","Dhaka","Goods","NCT","TENDER","Tender - Single Lot","12.01.0000.928.040.07.0009.26.1189","229211","1328441","Open Tendering Method (OTM)","Development","Government, Aid or Grant","224409200","Bangladesh Sustainable Recovery, Emergency Preparedness and Response Project (B-STRONG)-Agricultural System Restoration Component","BSTRONG/DAE/G-31 Procurement of Geo bag for Crop Cultivation for 2nd Phase","Vegetables, horticultural products and nursery products; Crops, products of market gardening and horticulture;","14-Sep-2026 22:00","30-Sep-2026 13:00","As per TDS","Procurement of Geo bag for Crop Cultivation for 2nd Phase","Lot wise","Package wise","Package wise","4000","Payment through Bank","27-Mar-2027","27-Mar-2027","Single","Procurement of Geo bag for Crop Cultivation for 2nd Phase","PE Office, Dhaka","500000","22-Oct-2026","21-Feb-2027","Sabina Yesmin","Project Director","Address : Room: 713, middle building, 7th floor, DAE, Khamarbari, Dhaka-1215 City : Dhaka Thana : Dhaka North City Corporation District : Dhaka - 1215 Country : Bangladesh","Room: 713, middle building, 7th floor, DAE, Khamarbari, Dhaka-1215","Dhaka","Dhaka North City Corporation","Dhaka - 1215","02-55028370","","20125000.00, OTM","https://www.eprocure.gov.bd/resources/common/ViewTender.jsp?id=1328441"
