"Ministry","Division","Organization","Procuring Entity Name","Procuring Entity Code","Procuring Entity District","Procurement Nature","Procurement Type","Event Type","Invitation for ","Invitation Reference No.","App ID","Tender/Proposal ID","Procurement Method ","Budget Type","Source of Funds","Project Code","Project Name","Tender/Proposal Package No. and Description","Category","Scheduled Tender/Proposal Publication Date and Time","Tender/Proposal Document last selling / downloading Date and Time","Eligibility of Tenderer","Brief Description of Works","Evaluation Type","Document Available","Document Fees","Tender/Proposal Document Price (In BDT) ","Mode of Payment","Tender/Proposal Security Valid Up to","Tender/Proposal Valid Up to","Lot No.","Identification of Lot","Location","Tender/Proposal security(Amount in BDT)","Tentative Start Date","Tentative Completion Date","Name of Official Inviting Tender/Proposal","Designation of Official Inviting Tender/Proposal","Address of Official Inviting Tender/Proposal","Address","City","Thana","District","Phone No","Fax No","Estimated Cost","Tender Link"
"Ministry of Housing and Public Works","","Public Works Department (PWD)","Pabna PWD Division, Pabna","","Pabna","Works","NCT","TENDER","Tender - Single Lot","Mental/OTM/Pabna_Sub-Soil Investigation/2026-27","231262","1324449","Open Tendering Method (OTM)","Development","Government","Mental Hospital/Pabna/5726","Conversion of Mental Hospital, Pabna into International Standard Institute of Mental Health and Hospital","Mental/OTM/Pabna_Sub-Soil Investigation/2026-27 Upgradation of Pabna Mental Hospital into an International Standard Mental Health Institute and Hospital (Sub-Head: Sub-Soil Invetigation).","Construction work;Site preparation work;Building demolition and wrecking work and earthmoving work;Test drilling and boring work;Works for complete or part construction and civil engineering work;Building construction work;Engineering works and construction works;Construction work for pipelines, communication and power lines, for highways, roads, airfields and railways; flatwork;Construction work for water projects;Construction works for plants, mining and manufacturing and for buildings relating to the oil and gas industry;Roof works and other special trade construction works;Building installation work;Electrical installation work;Insulation work;Plumbing and sanitary works;Fencing, railing and safety equipment installation work;Mechanical installations;Building completion work;Plastering work;Joinery and carpentry installation work;Floor and wall covering work;Painting and glazing work;Other building completion work;Hire of construction and civil engineering machinery and equipment with operator;Hire of cranes with operator;Hire of earthmoving equipment with operator","27-Aug-2026 20:00","06-Sep-2026 16:00","a) The Geotechnical Firm must be listed in PWD. b) The minimum number of years of general experience of the Tenderer in geotechnical works as Prime Contractor or Subcontractor shall be 5 (five) years. c) The tenderer must have a minimum specific experience as a Prime Contractor in geotechnical works, having successfully completed at least 1 (one) work of a similar nature utilizing hydraulic rotary drilling rigs, with a minimum value of Tk 60.00 Lacs in a single contract under the public sector within the last 5 (five) years. d) The geotechnical firm should have experience of conducting “Downhole Seismic Survey”. e) In case of the work done under any Government/ Semi-Government/ Autonomous Bodies/ Organization other than PWD the certifying authority shall be an officer not below the rank of Executive Engineer and the same duly verified by the concerned Executive Engineer of PWD of that district under whose jurisdiction the work has been done. f) The required average annual construction turnover shall be greater than Tk. 60.00 lacs in the last 5 (Five) years. g) The minimum liquid asset amounting of BDT 50.00 lacs, supporting documents are to be submitted with the tender. Credit Commitment issued by any scheduled bank should be fully unconditional as per specific (Form e-PW2A-8). Any deviation of this form will result the tender non-responsive. h) Minimum Tender Capacity 70.00 lacs. i) Tenderers shall submit with its tender the following additional documents: a) Updated income tax clearance certificate. b) Valid VAT registration certificate. c) Updated Trade license.","Upgradation of Pabna Mental Hospital into an International Standard Mental Health Institute and Hospital (Sub-Head: Sub-Soil Investigation).","Lot wise","Package wise","Package wise","2500","Payment through Bank","02-Feb-2027","02-Feb-2027","single","Upgradation of Pabna Mental Hospital into an International Standard Mental Health Institute and Hospital (Sub-Head: Sub-Soil Invetigation).","Mental Hospital, Pabna","275000","01-Oct-2026","31-Mar-2027","Md . Rashed Kabir","Executive Engineer","Address : Pabna pwd division ,Pabna City : pabna Thana : Pabna Sadar District : Pabna - 6600 Country : Bangladesh","Pabna pwd division ,Pabna","pabna","Pabna Sadar","Pabna - 6600","0731-66066","","Not Found","https://www.eprocure.gov.bd/resources/common/ViewTender.jsp?id=1324449"
"Ministry of Industries","","Bangladesh Chemical Industries Corporation (BCIC)","Purchase Division","","Dhaka","Goods","NCT","TENDER","Tender - Single Lot","Pur-1.3491/2026-2027","228141","1323668","Open Tendering Method (OTM)","Revenue","Government","Not applicable","Not applicable","PUR-1.3491/2026-2027 Procurement of 35.00 (Thirty Five) Lac Pcs WPP + Pe Bag For Fertiglobe, UAE","Rubber, plastic and film products;Rubber products;Tyres and related products;Unvulcanised and vulcanised rubber articles;Rubberised textile fabrics;Reclaimed rubber;Rubber waste products;Medical articles of rubber;Articles of hard rubber;Plastic products;Plastic plates, sheets, tubes and profiles;Packaging products of plastics;Builders ware of plastic;Miscellaneous plastic products;Magnetic cards;Sound recordings;Resins;Film products;Radiology film;Cinematographic film;Video films","27-Aug-2026 17:00","13-Sep-2026 14:00","1. The minimum of years of general experience of the Tenderer in the supply of Goods and related services as Supplier shall be 05 (Five) years. 2. The minimum specific experience as Supplier in supply of similar Goods of at least 1 (one) contract ( 5.00 lakh pieces) successfully completed within the last 03 (three) years, each with a value of at least Tk. 1.80 Crore. 3. The minimum supply and/or production capacity of Goods is/ are: Daily production capacity minimum 50,000 (Fifty Thousand) pieces of WPP polypropylene bag (WPP) with inner liner. 4. The minimum amount of liquid assets i.e working capital or credit line(s) of the Tenderer shall be Tk. 13.50 Crore in supporting documents and letter of Commitments for Bank’s Undertaking for Line of Credit in the format (Form PG3-8) shall have to be submitted with the tender by the tenderer.","Procurement of 35.00 (Thirty Five) Lac pcs WPP + Pe Bag for Fertiglobe, UAE","Lot wise","Package wise","Package wise","5000","Payment through Bank","10-Jan-2027","10-Jan-2027","1","Procurement of 35.00 (Thirty Five) Lac Pcs WPP + Pe Bag For Fertiglobe, UAE","BCIC, Dhaka","3500000","15-Sep-2026","14-Oct-2026","Serniabat Razaul Bary","General Manager(Comm)","Address : BCIC Bhaban, 12th floor, 30-31 Dilkusha Commercial Area,
Dhaka-1000 City : Dhaka Thana : Dhaka South City Corporation District : Dhaka - 1000 Country : Bangladesh","","Dhaka","Dhaka South City Corporation","Dhaka - 1000","02-9561627","02-9552642","157500000.00, OTM","https://www.eprocure.gov.bd/resources/common/ViewTender.jsp?id=1323668"
"Ministry of Road Transport and Bridges","Road Transport and Highways Division","Roads & Highways Department (RHD)","Khagrachari Road Division","khag001","Khagrachari","Works","NCT","TENDER","Tender - Single Lot","KhagRD/DEV/RMMK/R162/WP-05","230221","1323843","Open Tendering Method (OTM)","Development","Government","224422700","Improvement of Rangamati (Manikchhari) - Mohalchhari -Khagrachhari Regional Highway (R-162) to appropriate Standard and Width","KhagRD/DEV/RMMK/R162/WP-05 Widening and Improvement of Rangamati (Manikchari)- Mohalchari-Khagrachari Regional Highway (R-162) to proper standard from Chainage 45+500 to Chainage 53+500 under Khagrachari Road Division.","Engineering works and construction works; Works for complete or part construction and civil engineering work; Construction work for pipelines, communication and power lines, for highways, roads, airfields and railways; flatwork;","27-Aug-2026 16:30","28-Sep-2026 12:30","Any / All tenderers who have registered in e-GP system may participate in the tender provided that they fulfill the criteria as stated in Tender Document. N.B: i) Tenderers are requested to fill different Tender Forms (Section 5: Tender and Contract Forms) properly with necessary information and by uploading necessary document(s), which will be considered for tender evaluation. ii) Unnecessary / Excess document(s) are discouraged to upload/attach. iii) If any submitted document is proved false at any stage of evaluation process, the tenderer shall be considered as non-responsive. iv) The Tender will be evaluated as per submitted documents in the e-GP system, conditions of STD as per PPR-2025, Rules 118 & other up to date relevant rules of PPR-2025 v) If corrupt, fraudulent, collusive, coercive or obstructive practices of any kind are determined against any tenderer then measure shall be taken following Rules 149 of PPR-2025 & relevant clause of Standard Tender Document. vi) Non-submission of ongoing work under any PE organization that affects the tender evaluation process will be considered as non-eligibility of the tenderer.","Widening and Improvement of Rangamati (Manikchari)- Mohalchari-Khagrachari Regional Highway (R-162) to proper standard from Chainage 45+500 to Chainage 53+500 under Khagrachari Road Division.","Lot wise","Package wise","Package wise","10000","Payment through Bank","25-Mar-2027","25-Mar-2027","1","Widening and Improvement of Rangamati (Manikchari)- Mohalchari-Khagrachari Regional Highway (R-162) to proper standard from Chainage 45+500 to Chainage 53+500 under Khagrachari Road Division.","Rangamati Manikchari- Mohalchari-Khagrachari Regional Highway R-162","29500000","03-Jan-2027","26-Jun-2028","Sowmya Talukder","Executive Engineer","Address : khagrachari Road Division, Sarak Bhaban, khagrachari City : khagrachari Thana : Khagrachari Sadar District : Khagrachari - 0000 Country : Bangladesh","khagrachari Road Division, Sarak Bhaban, khagrachari","khagrachari","Khagrachari Sadar","Khagrachari - 0000","0371-61730","","1180000000.00, OTM","https://www.eprocure.gov.bd/resources/common/ViewTender.jsp?id=1323843"
"Ministry of Social Welfare","","Department of Social Services(DSS)","Establishment Re-Establishment of Sarkari Shishu Paribar and Baby Home-2nd Revised Project.","224256700","Dhaka","Goods","NCT","TENDER","Tender - Single Lot","DSS/SSP2nd/POB/GD 10 Lot-3","229446","1318606","Open Tendering Method (OTM)","Development","Government","224256700","Establishment/ Re-Establishment of Sarkari Shishu Paribar and Baby Home (2nd Revised) Project.","GD 10 Lot-3 Procurement of mattresses, blankets, bed sheets, pillows (with covers), mosquito nets, thin quilts (Katha), prayer mats (Janamaz), and door & window curtains for residents living in 4 centers (Bagerhat, Barishal, Pirojpur, and Shariatpur)","Textiles and textile articles;Textile fabrics and related items;Woven fabrics;Woollen fabrics;Linen fabrics;Special fabrics;Knitted or crocheted fabrics;Cloth;Non-woven fabrics;Textile articles;Textile household articles;Made-up textile articles;Carpets, mats and rugs;Miscellaneous cordage, rope, twine and netting;Non-woven articles;Miscellaneous textile articles;Knitwear, hosiery and related articles;Textile yarn and thread;Natural textile fibres;Artificial textile fibres;Textile yarn and thread of natural fibres;Synthetic yarn or thread;Textile waste","27-Aug-2026 19:00","13-Sep-2026 14:00","As per ITT and TDS.","Procurement of mattresses, blankets, bed sheets, pillows (with covers), mosquito nets, thin (light weight) quilts (Katha), prayer mats (Jainamaz), and door & window curtains for residents living in 4 centers (Bagerhat, Barishal, Pirojpur, and Shariatpur)","Lot wise","Package wise","Package wise","2500","Payment through Bank","08-Feb-2027","08-Feb-2027","Lot-3","Procurement of mattresses, blankets, bed sheets, pillows (with covers), mosquito nets, thin quilts (Katha), prayer mats (Janamaz), and door & window curtains for residents living in 4 centers (Bagerhat, Barishal, Pirojpur, and Shariatpur)","4 Districts","250000","30-Sep-2026","30-Sep-2027","Md. Barkatur Rahman","Project Director","Address : 102/1,West Agargaon, Dhaka-1207 City : Dhaka Thana : Dhaka North City Corporation District : Dhaka - 1207 Country : Bangladesh","102/1,West Agargaon, Dhaka-1207","Dhaka","Dhaka North City Corporation","Dhaka - 1207","02-223314367","","Not Found","https://www.eprocure.gov.bd/resources/common/ViewTender.jsp?id=1318606"
"Ministry of Education","Secondary and Higher Education Division","National Curriculum and textbook Board (NCTB)","Member (Textbook), NCTB","","Dhaka","Goods","NCT","TENDER","Tender - Single Lot","37.06.0000.304.07.006.26/1904","225442","1324006","Open Tendering Method (OTM)","Revenue","Government","Not applicable","Not applicable","2027.GD.PRI.IV.2Books.12.419 For printing (with paper), binding and supplying of two subject textbooks (Culture of Bangladesh & Sports) of class four (primary level) to be distributed free of cost for the academic year 2027","Various types of printed matter and articles for printing; Printing, publishing and related services;Printed books, brochures and leaflets;Printed books;Publications;Directories;Leaflets;Brochures;Booklets;Newspapers, journals, periodicals and magazines;Newspapers;Postcards, greeting cards and other printed matter;Postcards;Greeting cards;Stamps, cheque forms, banknotes, stock certificates, trade advertising material, catalogues and manuals;Stamps;Stamp-impressed paper;Banknotes;Cheque forms;Security-type printed matter;Trade-advertising material, commercial catalogues and manuals;Manuals;Printing plates or cylinders or other media for use in printing;Offset plates;Dry-etching equipment;Paper or paperboard registers, account books, binders, forms and other articles of printed stationery;Paper or paperboard registers;Forms;Exercise books;Albums for samples;Binders and related accessories;Printed stationery except forms;Miscellaneous printed matter;Car-tax discs;Driving licences;ID cards;Permits;Entrance cards;Bespoke printed matter;Tickets;Printing services;Printing services for books;Printing services for stationery;Printing services for security printed matter;Printing services for forms;Printing services for tickets;Printing services for calendars;Printing services for timetables;Newspaper printing services;Printing services for posters;Services related to printing;Print finishing services;Composition services;Printing and delivery services;Printing and distribution services;Publishing services;Bookbinding and finishing services;Subscription services","27-Aug-2026 16:10","09-Sep-2026 16:10","As Per TDS","For printing (with paper), binding and supplying of two subject textbooks (Culture of Bangladesh & Sports) of class four (primary level) to be distributed free of cost for the academic year 2027","Lot wise","Package wise","Package wise","4000","Payment through Bank","07-Mar-2027","07-Mar-2027","419","For printing (with paper), binding and supplying of two subject textbooks (Culture of Bangladesh & Sports) of class four (primary level) to be distributed free of cost for the academic year 2027","As Per Delivery Schedule","610000","20-Sep-2026","26-Nov-2026","Mohammad Abu Nasher Tuku","Member (Textbook)","Address :  69-70, Motijheel, C/A, Dhaka-1000 City : Dhaka Thana : Dhaka South City Corporation District : Dhaka - 1000 Country : Bangladesh","69-70, Motijheel, C/A, Dhaka-1000","Dhaka","Dhaka South City Corporation","Dhaka - 1000","02-9550805","","36033142.80, OTM","https://www.eprocure.gov.bd/resources/common/ViewTender.jsp?id=1324006"
"Ministry of Local Government","Rural Development and Co-operatives","Local Government Division","Office of the Admin 2 (LGD)","","Dhaka","Goods (Framework Agreement)","NCT","TENDER","Tender - Single Lot","46.00.0000.000.041.98.0002.26-375","227389","1320267","Open Tendering Method (OTM)","Revenue","Government","Not applicable","Not applicable","LGD/OTM-3/2026-27 Supply of Computer Equipment","Computer equipment and supplies; Office and computing machinery, equipment and supplies;Data-processing machines;Digital cartography equipment;Computer hardware;Software;Computer systems;Servers","27-Aug-2026 20:00","10-Sep-2026 11:30","Supply of Computer Equipment and Computer accessories Related Services (as per schedule of TDS)","Supply of Computer Equipment and Computer accessories Related Services (As per Price Schedule of the goods).","Lot wise","Package wise","Package wise","1500","Payment through Bank","09-Mar-2027","09-Mar-2027","1","Supply of Computer Equipment","Admin 2 Local Government Division","100000","01-Oct-2026","28-Jun-2029","Ziaur Rahman","Deputy Secretary","Address : Bangladesh Secretariat City : Dhaka Thana : Dhaka South City Corporation District : Dhaka - 1000 Country : Bangladesh","Bangladesh Secretariat","Dhaka","Dhaka South City Corporation","Dhaka - 1000","02-9144252","02-9144252","3500000.00, OTM","https://www.eprocure.gov.bd/resources/common/ViewTender.jsp?id=1320267"
"Ministry of Housing and Public Works","","Public Works Department (PWD)","Brammanbaria pwd division","","Brahmanbaria","Works","NCT","TENDER","Tender - Single Lot","BB_2026-2027_NR_OTM_21","227173","1324325","Open Tendering Method (OTM)","Revenue","Government","Not applicable","Not applicable","BB_2026-2027_NR_OTM_21 Supply and installation of a submersible pump motor, security lights, and fans for the quarters of the 250-bed Sadar Hospital in Brahmanbaria district. Fiscal Year: 2026-2027.","Electricity, gas, nuclear energy and fuels, steam, hot water and other sources of energy; Repair, maintenance and installation services;Electricity;Manufactured gas;Coal gas or similar gases;Mains gas;Steam, hot water and associated products;Hot water;Steam;District heating;Long-distance heating;Solar energy;Solar panels;Solar installation;Nuclear fuels;Uranium;Plutonium;Radioactive materials;Radio-isotopes;Repair, maintenance and associated services of vehicles and related equipment;Repair and maintenance services of motor vehicles and associated equipment;Demolition services of vehicles;Repair, maintenance and associated services related to aircraft, railways, roads and marine equipment;Repair, maintenance and associated services related to aircraft and other equipment;Repair, maintenance and associated services related to railways and other equipment;Repair, maintenance and associated services related to roads and other equipment;Repair, maintenance and associated services related to marine and other equipment;Repair, maintenance and associated services related to personal computers, office equipment, telecommunications and audio-visual equipment;Maintenance and repair of office machinery;Repair and maintenance services of personal computers;Maintenance services of telecommunications equipment;Repair and maintenance services of audio-visual and optical equipment;Repair and maintenance services of medical and precision equipment;Repair and maintenance services of measuring, testing and checking apparatus;Repair and maintenance services of medical and surgical equipment;Repair and maintenance services of precision equipment;Repair and maintenance services for pumps, valves, taps and metal containers and machinery;Repair and maintenance services of pumps, valves, taps and metal containers;Repair and maintenance services of machinery;Repair and maintenance services of building installations;Repair and maintenance services of electrical and mechanical building installations;Repair and maintenance services of central heating;Repair and maintenance services of cooler groups;Repair and maintenance services of escalators;Lift-maintenance services;Miscellaneous repair and maintenance services;Repair services of jewellery;Repair services of leather personal goods;Repair services of garments and textiles;Repair and maintenance services of weapons and weapon systems;Repair and maintenance services of furniture;Repair and maintenance services of musical instruments;Repair and maintenance services of playground equipment;Repair and maintenance services of hotel and restaurant equipment;Installation services;Installation services of electrical and mechanical equipment;Installation services of equipment for measuring, checking, testing and navigating;Installation services of communications equipment;Installation services of medical and surgical equipment;Installation services of machinery and equipment;Installation services of computers and office equipment;Installation services of metal containers","27-Aug-2026 18:00","07-Sep-2026 14:00","1. The minimum number of years of general experience of the Tenderer in the construction works as Prime Contractor or Subcontractor or Management Contractor shall be 05 (Five) years. 2. The minimum specific experience as a Prime Contractor or Subcontractor or Management Contractor in construction works under public sector of at least one contract of specific nature of electrical repair works in residential building successfully completed within the last 05 (Five) years, each with a value of at least Tk. 5.00 (Five) . 3. The required average annual construction turnover under public sector shall be greater than Tk 38.00 (Thirty) Lakh over the last 05 (Five) financial years or best 05 (Five) years in the last 10 (Ten) financial years. 4. The minimum amount of financial resources as liquid asset or working capital or credit line(s) or specific credit commitment or in any combination of them, of the Tenderers shall be Tk 4.00 (Four) Lakh . 5. The minimum capacity shall be: Tk 5.00 (Five) Lakh. 6. Up-to-date Trade License, valid VAT registration certificate, TIN certificate, Income Tax Certificate 7. Must have Up-to-date ABC/BC Category Supervisory & Contractor license. 8. Other terms and conditions as per TDS and PPR-2025.","Supply and installation of a submersible pump motor, security lights, and fans for the quarters of the 250-bed Sadar Hospital in Brahmanbaria district. Fiscal Year: 2026-2027.","Lot wise","Package wise","Package wise","500","Payment through Bank","02-Feb-2027","02-Feb-2027","1","Supply and installation of a submersible pump motor, security lights, and fans for the quarters of the 250-bed Sadar Hospital in Brahmanbaria district. Fiscal Year: 2026-2027.","Brahmanbaria","20000","17-Sep-2026","01-Oct-2026","Johir Rayhan","Executive Engineer","Address : Brammanbaria pwd division ,Brammanbaria City : Brammanbaria Thana : Brahmanbaria Sadar District : Brahmanbaria - 3420 Country : Bangladesh","Brammanbaria pwd division ,Brammanbaria","Brammanbaria","Brahmanbaria Sadar","Brahmanbaria - 3420","08-5163297","","800000.00, OTM","https://www.eprocure.gov.bd/resources/common/ViewTender.jsp?id=1324325"
"Ministry of Road Transport and Bridges","Road Transport and Highways Division","Roads & Highways Department (RHD)","Feni Road Division","fenRD","Feni","Works","NCT","TENDER","Tender - Single Lot","eGP/Rev/OTM/FootoverBridge/FRD-08/2026-2027","227987","1322931","Open Tendering Method (OTM)","Revenue","Government","Not applicable","Not applicable","eGP/Rev/OTM/FootoverBridge/FRD-08/2026-2027 Construction of Foot Over Bridge infront of Ramnagar K.M.C.(R) High School at 19th K.m. (Ch.18+485 Km) on Feni-Noakhali National Highway (N-104) under Road Division Feni during the year 2026-27.","Construction work;Site preparation work;Building demolition and wrecking work and earthmoving work;Test drilling and boring work;Works for complete or part construction and civil engineering work;Building construction work;Engineering works and construction works;Construction work for pipelines, communication and power lines, for highways, roads, airfields and railways; flatwork;Construction work for water projects;Construction works for plants, mining and manufacturing and for buildings relating to the oil and gas industry;Roof works and other special trade construction works;Building installation work;Electrical installation work;Insulation work;Plumbing and sanitary works;Fencing, railing and safety equipment installation work;Mechanical installations;Building completion work;Plastering work;Joinery and carpentry installation work;Floor and wall covering work;Painting and glazing work;Other building completion work;Hire of construction and civil engineering machinery and equipment with operator;Hire of cranes with operator;Hire of earthmoving equipment with operator","27-Aug-2026 17:00","13-Sep-2026 17:00","Any/all Bangladeshi tenderers who have registered in e-GP system may participate in the tender provided that they fulfil the criteria as stated in the tender document. N.B.: 1) Tenderers are requested to fill different Tender Forms (Section 5: Tender and Contract Forms) properly with necessary information and by uploading necessary document(s), which shall be considered for tender evaluation. 2) Tenderers are requested not to upload any unclear & unnecessary documents. 3) If any submitted documents are proved false at any stage of the evaluation process, the tenderers shall be considered as non-responsive. 4) The tenders shall be evaluated as per submitted documents in the e-GP system, the conditions of STD as per PPR-2025, Rule 118, and other up-to-date relevant rules of PPR-2025. 5) If corrupt, fraudulent, collusive, coercive, or obstructive practices of any kind are determined against any tenderer, then measures shall be taken following Rule 149 of PPR-2025 & the relevant clause of STD. 6) Non-submission of ongoing work under any PE organisations that affect the tender evaluation process shall be considered as non-eligibility of the tenderer. 7) If the total quoted price is more than 5% (five percent) less or above the APP estimate cost, the tenderer shall submit an item-wise analysis of rates in support of his quoted rate. 8) All non-life insurance for any public property, or risks or liabilities pertaining to public property, shall be taken through Sadiron Bima Corporation in accordance with the Insurance Corporation Act, 2019. 9) The tenderer shall submit a turnover calculation sheet, a capacity calculation sheet & an ongoing works value calculation (both a hard copy and an Excel sheet soft copy as per the attached format in section 8, Particular Specifications).","Construction of Foot Over Bridge infront of Ramnagar K.M.C.(R) High School at 19th K.m. (Ch.18+485 Km) on Feni-Noakhali National Highway (N-104) under Road Division Feni during the year 2026-27.","Lot wise","Package wise","Package wise","4000","Payment through Bank","11-Mar-2027","11-Mar-2027","1","Construction of Foot Over Bridge infront of Ramnagar K.M.C.(R) High School at 19th K.m. (Ch.18+485 Km) on Feni-Noakhali National Highway (N-104) under Road Division Feni during the year 2026-27.","Under Feni Road Division","1000000","01-Nov-2026","31-Jan-2027","Suniti Chakma","Executive Engineer","Address : Feni Road Division, Sarak Bhaban, Feni City : Feni Thana : Feni Sadar District : Feni - 0001 Country : Bangladesh","Feni Road Division, Sarak Bhaban, Feni","Feni","Feni Sadar","Feni - 0001","0331-74039","","37332300.00, OTM","https://www.eprocure.gov.bd/resources/common/ViewTender.jsp?id=1322931"
"Ministry of Energy","Power and Mineral Resources","Power Grid Bangladesh PLC","Grid Maintenance Division, Rangpur","026","Rangpur","Works","NCT","TENDER","Tender - Single Lot","27.21.0000.727.07.002.26.153 ; Dated: 24/08/2026","229255","1322637","Open Tendering Method (OTM)","Own Fund","Own Fund","Not applicable","Not applicable","RMSS 26-27/01 Cutting grass Cutting of grass, shrubs, jungles at different grid S/S under GMD, Power Grid, Rangpur.","Washing and dry-cleaning services; Miscellaneous services; Laundry-collection services; Textile-cleaning services; Fur-products cleaning services; Colouring services; Pressing services; Dyeing services;","27-Aug-2026 17:18","10-Sep-2026 14:30","01. A satisfactory completion of Grass Cutting Work  at 132 kv Grid Substation valued minimum Tk. 06 (Six) Lacs under maximum 01(One) of the contract over a period of last 05 (Five) years shall be required. 02.Tenderer Should have updated trade license,ABC license,Tax payment Certificate,TIN and BIN. 03.Final payable amount (bill) will be depended on Post work measurement after completion of work. 04. As Stated in the Tender Documents and PCC.","Cutting of grass, shrubs, jungles at different grid S/S under GMD, Power Grid, Rangpur.","Lot wise","Package wise","Package wise","500","Payment through Bank","05-Feb-2027","05-Feb-2027","01","Cutting of grass, shrubs, jungles at different grid S/S under GMD, Power Grid, Rangpur.","All Grid SS under GMD Rangpur","20000","30-Sep-2026","17-Jun-2027","Md Shahjahan Ali","Executive Engineer","Address : Biddut Bhaban, Collage Road, Alamnagar, Rangpur. City : Rangpur Thana : Rangpur City Corporation District : Rangpur - 5402 Country : Bangladesh","Biddut Bhaban, Collage Road, Alamnagar, Rangpur.","Rangpur","Rangpur City Corporation","Rangpur - 5402","0521-65117","0521-65117","Not Found","https://www.eprocure.gov.bd/resources/common/ViewTender.jsp?id=1322637"
"Ministry of Home Affairs","","Bangladesh Police","Office of the Superintendent of Police, Madaripur","00113","Madaripur","Goods","NCT","TENDER","Tender - Single Lot","sp madaripur/ration/lentil/2026-27 2nd","226731","1324082","Open Tendering Method (OTM)","Revenue","Government","Not applicable","Not applicable","sp madaripur/ration/lentil/2026-27 2nd Supply Of Grain Lentils at Sp Office, Madaripur 2nd Quarter/2026-27 (October to December/2026)","Food products and beverages;Animal products, meat and meat products;Meat;Animal wool, hides and skins;Meat products;Prepared and preserved fish;Fish fillets, fish livers and roe;Frozen fish, fish fillets and other fish meat;Dried or salted fish; fish in brine; smoked fish;Canned or tinned fish and other prepared or preserved fish;Seafood;Fruit, vegetables and related products;Potatoes and potato products;Fruit and vegetable juices;Fruit and vegetables;Animal or vegetable oils and fats;Crude animal or vegetable oils and fats;Refined oils and fats;Edible fats;Dairy products;Milk and cream;Butter;Cheese products;Assorted dairy products;Grain mill products, starches and starch products;Grain mill products;Starches and starch products;Animal feedstuffs;Prepared animal feeds for farm and other animals;Miscellaneous food products;Bread products, fresh pastry goods and cakes;Rusks and biscuits; preserved pastry goods and cakes;Sugar and related products;Cocoa; chocolate and sugar confectionery;Pasta products;Coffee, tea and related products;Condiments and seasonings;Special nutritional products;Miscellaneous food products n.e.c. and dried goods;Beverages;Distilled alcoholic beverages;Wines;Cider and other fruit wines;Non-distilled fermented beverages;Malt beer;Non-alcoholic beverages","27-Aug-2026 17:00","10-Sep-2026 13:00","As per TDS a. Updated copy of valid trade license. b. Updated income tax clearance certificate & E-TIN certificate. c. Updated VAT registration certificate. d. A latest certified copy of bank solvency certificate or line of Credit According to PG3-8 Form. e. A certificate of ownership of the company. f. National Identity Card copy. g. Must submit a certificate stating that you are not blacklisted. h. Samples of the relevant items must be submitted to the office before opening. i. The agricultural marketing certificate must be submitted.","Supply Of Grain Lentils at Sp Office, Madaripur 2nd Quarter/2026-27 (October to December/2026)","Lot wise","Package wise","Package wise","1500","Payment through Bank","06-Jan-2027","06-Jan-2027","1","Supply Of Grain Lentils at Sp Office, Madaripur 2nd Quarter/2026-27 (October to December-2026)","Police Lines, Madaripur","136125","01-Oct-2026","10-Dec-2026","Md. Habibur Rahman","SP","Address : Office of the Superintendent of Police, Madaripur City : Madaripur Thana : Madaripur Sadar District : Madaripur - 7900 Country : Bangladesh","Office of the Superintendent of Police, Madaripur","Madaripur","Madaripur Sadar","Madaripur - 7900","0661-61494","0661-61108","Not Found","https://www.eprocure.gov.bd/resources/common/ViewTender.jsp?id=1324082"
