Ministry,Division,Organization,Procuring Entity Name,Procuring Entity Code,Procuring Entity District,Procurement Nature,Procurement Type,Event Type,Invitation for ,Invitation Reference No.,App ID,Tender/Proposal ID,Procurement Method ,Budget Type,Source of Funds,Project Code,Project Name,Tender/Proposal Package No. and Description,Category,Scheduled Tender/Proposal Publication Date and Time,Tender/Proposal Document last selling / downloading Date and Time,Eligibility of Tenderer,Brief Description of Works,Evaluation Type,Document Available,Document Fees,Tender/Proposal Document Price (In BDT) ,Mode of Payment,Tender/Proposal Security Valid Up to,Tender/Proposal Valid Up to,Lot No.,Identification of Lot,Location,Tender/Proposal security(Amount in BDT),Tentative Start Date,Tentative Completion Date,Name of Official Inviting Tender/Proposal,Designation of Official Inviting Tender/Proposal,Address of Official Inviting Tender/Proposal,Address,City,Thana,District,Phone No,Estimated Cost,Tender Link
Ministry of Health and Family Welfare,Health Services Division,Directorate General of Health Services (DGHS),Chittagong Medical College Hospital,,Chattogram,Goods,NCT,TENDER,Tender - Single Lot,Cmch/e-GP/2026-2027/Reagent/Package-02,227486,1314496,Open Tendering Method (OTM),Revenue,Government,Not applicable,Not applicable,Cmch/e-Gp/2026-2027/Reagent. Procurement of Machine Readable Reagent of Auto Haematology Biocell-86 or Equivalent for the fiscal year 2026-2027,"Medical and laboratory devices, optical and precision devices, watches and clocks, pharmaceuticals and related medical consumables;Medical devices;Imaging equipment for medical, dental and veterinary use;Functional exploration;Dentistry;Medical non-chemical consumables and haematological consumables;Therapy;Operating techniques;Anaesthesia and resuscitation;Functional support;Miscellaneous medical devices;Instruments and appliances for measuring, checking, testing and navigating;Navigational, meteorological, geological and geophysical instruments;Remote-control equipment;Precision balances, instruments for drawing, calculating and measuring length;Instruments for measuring quantities;Instruments for checking physical characteristics;Checking and testing apparatus;Regulating and controlling instruments and apparatus;Non-medical equipment based on the use of radiations;Industrial process control equipment;Optical instruments;Spectacles and lenses;Polarising material;Astronomical and optical instruments;Liquid crystal devices;Photographic equipment;Horological instruments;Watches and clocks",02-Aug-2026 23:50,12-Aug-2026 14:00,As Per TDS & PCC,Procurement of Machine Readable Reagent of Auto Haematology Biocell-86 or Equivalent for the fiscal year 2026-2027,Lot wise,Package wise,Package wise,1500,Payment through Bank,07-Feb-2027,07-Feb-2027,Single Lot,Procurement of Machine Readable Reagent of Auto Haematology Biocell-86 or Equivalent for the fiscal year 2026-2027,Chittagong Medical College Hospital,140000,01-Oct-2026,30-Nov-2026,Mohammad Taslim Uddin,Director,"Address : K.B. Fazlul Kader Road, Panchlaish, Chittagong City : Chittagong Thana : Chattogram City Corporation District : Chattogram - 4203 Country : Bangladesh","K.B. Fazlul Kader Road, Panchlaish, Chittagong",Chittagong,Chattogram City Corporation,Chattogram - 4203,031-31630179,Not Found,https://www.eprocure.gov.bd/resources/common/ViewTender.jsp?id=1314496
Ministry of Health and Family Welfare,Health Services Division,Directorate General of Health Services (DGHS),Chittagong Medical College Hospital,,Chattogram,Goods,NCT,TENDER,Tender - Single Lot,Cmch/e-GP/2026-2027/Reagent/Package-1,227486,1314495,Open Tendering Method (OTM),Revenue,Government,Not applicable,Not applicable,Cmch/e-Gp/2026-2027/Reagent Procurement of Machine Readable Reagent of Sysmex (XN-550)/1000) Automated Hematology Analyzer or Equivalent for the fiscal year 2026-2027,"Medical and laboratory devices, optical and precision devices, watches and clocks, pharmaceuticals and related medical consumables;Medical devices;Imaging equipment for medical, dental and veterinary use;Functional exploration;Dentistry;Medical non-chemical consumables and haematological consumables;Therapy;Operating techniques;Anaesthesia and resuscitation;Functional support;Miscellaneous medical devices;Instruments and appliances for measuring, checking, testing and navigating;Navigational, meteorological, geological and geophysical instruments;Remote-control equipment;Precision balances, instruments for drawing, calculating and measuring length;Instruments for measuring quantities;Instruments for checking physical characteristics;Checking and testing apparatus;Regulating and controlling instruments and apparatus;Non-medical equipment based on the use of radiations;Industrial process control equipment;Optical instruments;Spectacles and lenses;Polarising material;Astronomical and optical instruments;Liquid crystal devices;Photographic equipment;Horological instruments;Watches and clocks",02-Aug-2026 23:50,12-Aug-2026 14:00,As Per TDS & PCC,Procurement of Machine Readable Reagent of Sysmex (XN-550)/1000) Automated Hematology Analyzer or Equivalent for the fiscal year 2026-2027,Lot wise,Package wise,Package wise,2500,Payment through Bank,07-Feb-2027,07-Feb-2027,Single Lot,Procurement of Machine Readable Reagent of Sysmex (XN-550)/1000) Automated Hematology Analyzer or Equivalent for the fiscal year 2026-2027,Chittagong Medical College Hospital,204000,01-Oct-2026,30-Nov-2026,Mohammad Taslim Uddin,Director,"Address : K.B. Fazlul Kader Road, Panchlaish, Chittagong City : Chittagong Thana : Chattogram City Corporation District : Chattogram - 4203 Country : Bangladesh","K.B. Fazlul Kader Road, Panchlaish, Chittagong",Chittagong,Chattogram City Corporation,Chattogram - 4203,031-31630179,Not Found,https://www.eprocure.gov.bd/resources/common/ViewTender.jsp?id=1314495
Ministry of Health and Family Welfare,Health Services Division,Directorate General of Health Services (DGHS),Chittagong Medical College Hospital,,Chattogram,Goods,NCT,TENDER,Tender - Single Lot,CMCH/E-TENDER/2026-2027/Gauze,227486,1310649,Open Tendering Method (OTM),Revenue,Government,Not applicable,Not applicable,"Cmch/egp/2026-2027/ Gauze Cotton and Others Procurement of Gauze, Cotton & Others for the fiscal year 2026-2027",Miscellaneous services;Washing and dry-cleaning services;Laundry-collection services;Textile-cleaning services;Fur-products cleaning services;Colouring services;Pressing services;Dyeing services;Hairdressing and beauty treatment services;Hairdressing services;Beauty treatment services;Physical well-being services;Turkish bath services;Spa services;Massage services;Accommodation and office services;Accommodation services;Civic-amenity services;Car-park management services;Marine services;Aquatic marine services;Port management services;Diving services;Funeral and related services;Funeral services;Miscellaneous services n.e.c.;Decommissioning services;Relocation services;Tailoring services;Upholstering services;Locksmith services;Clearing and Forwarding Agent;Service Provider (Others),02-Aug-2026 23:50,16-Aug-2026 14:00,As Per TDS & PCC,"Procurement of Gauze, Cotton & Others for the fiscal year 2026-2027",Lot wise,Package wise,Package wise,2500,Payment through Bank,11-Feb-2027,11-Feb-2027,Single Lot,"Procurement of Gauze, Cotton & Others for the fiscal year 2026-2027",Chittagong Medical College Hospita,512000,01-Oct-2026,30-Nov-2026,Mohammad Taslim Uddin,Director,"Address : K.B. Fazlul Kader Road, Panchlaish, Chittagong City : Chittagong Thana : Chattogram City Corporation District : Chattogram - 4203 Country : Bangladesh","K.B. Fazlul Kader Road, Panchlaish, Chittagong",Chittagong,Chattogram City Corporation,Chattogram - 4203,031-31630179,Not Found,https://www.eprocure.gov.bd/resources/common/ViewTender.jsp?id=1310649
Ministry of Education,Secondary and Higher Education Division,Khulna University,Office of The Planning and Development,,Khulna,Goods,NCT,TENDER,Tender - Single Lot,KU/PD-458/2026-1,218885,1311095,Open Tendering Method (OTM),Revenue,Government,Not applicable,Not applicable,GR14-KU/PD-458/2026 Procurement of AI Software Subscription for the CSE Disciplin,"Office and computing machinery, equipment and supplies; Software programming and consultancy services; Computer and related services;Office machinery, equipment and supplies except computers;Word-processing machines;Photocopying and printing equipment;Post-office equipment;Calculating and accounting machines;Typewriters;Parts and accessories of typewriters and calculating machines;Various office equipment and supplies;Computer equipment and supplies;Data-processing machines;Digital cartography equipment;Computer hardware;Software;Computer systems;Servers;Programming services of packaged software products;Systems and technical consultancy services;Custom software development services;Systems analysis and programming services;System maintenance and support services;Software-related services",02-Aug-2026 23:00,12-Aug-2026 9:00,"The tenderer shall have the following qualifying and other eligibility criteria stated in the TDS & PCC. a)The minimum general experience of the tenderer in the supply of goods and related services shall be a minimum 01 years. b)The minimum specific experience of the tenderer in the supply of similar goods under at least 1 (one) contract with a value of at least Tk. 5 lac at any Government/ Semi-Government/ Autonomous body/Renowned private organization successfully completed in a financial year within the last 5 years. c)The minimum amount of liquid assets i.e working capital or credit line(s) of the tenderer shall be Tk. 8 lac. (format in standard tender document should be followed) d)Up-to-date Trade License, Income Tax Clearance Certificate, VAT Registration Certificate. e)The supplier shall carry out the configuration of all necessary items. f)Khulna University authority reserves the right to disqualify any tenderer due to intentional rate quoting/front loading. N.B: Tenderers are advised to submit only the documents requested , as additional or unsolicited submissions may delay the evaluation process.",Procurement of AI Software Subscription for the CSE Discipline (Re),Lot wise,Package wise,Package wise,500,Payment through Bank,07-Jan-2027,07-Jan-2027,1,Procurement of AI Software Subscription for the CSE Disciplin,Khulna Unviersity,10000,19-Aug-2026,18-Nov-2026,Kazi Saiful Islam,Director,"Address : Office of The Planning and Development, KU City : Khulna Thana : Dumuria District : Khulna - 9208 Country : Bangladesh","Office of The Planning and Development, KU",Khulna,Dumuria,Khulna - 9208,0247-7734148,"1000000.00,OTM",https://www.eprocure.gov.bd/resources/common/ViewTender.jsp?id=1311095
Ministry of Education,Secondary and Higher Education Division,Gazipur Agricultural University,"Office of The Project Director - ""Infrastructural Development of Gazipur Agricultural University Project""",,Gazipur,Physical Services,NCT,PPS,,,223850,1313945,Open Tendering Method (OTM),Development,Government,224418200,Infrastructural Development of Gazipur Agricultural University,egp/IDGAU/2025-26/SD-2 Hiring Vehicle for the Project Office at GAU,Land transport services and transport via pipeline services;Land transport services;Passenger land transport services.;Land freight transport services;Pipeline transport services;Transport by pipeline of petroleum products;Transport by pipeline of natural gas,,12-Aug-2026 16:00,All national tenderers/consultants/transport service providers,Providing car transport services for the office of the project director.,Package wise,,Package wise,2500,Payment through Bank,07-Jan-2027,07-Jan-2027,,,Gazipur Agricultural University,,20-Aug-2026,28-Sep-2028,MD. ABDUL BASET MIA,Project Director,"Address : Gazipur Agricultual University, Gazipur 1706 City : Gazipur Thana : Gazipur City Corporation District : Gazipur - 1706 Country : Bangladesh","Gazipur Agricultual University, Gazipur 1706",Gazipur,Gazipur City Corporation,Gazipur - 1706,09666-342545,"5200000.00,OTM",https://www.eprocure.gov.bd/resources/common/ViewTender.jsp?id=1313945
Ministry of Education,Secondary and Higher Education Division,Education Engineering Department,"Office of the Executive Engineer, EED,Bogra, District.",29,Bogura,Works,NCT,TENDER,Tender - Single Lot,"eed/desk-1/7354,       Date 26/07/2026",228910,1314412,Open Tendering Method (OTM),Revenue,Government,1250301-120001602-3258108,Repair/Renovation of Non-Govt. Educational Institutions,"eed/bog/p-2624 Vertical Extension of the Academic Building  (FY.2024-25) at Shahid Zia Degree College, Gabtoli Upazila, Bogura Dristrict.(RMS ID # 1053393)","Construction work;Site preparation work;Building demolition and wrecking work and earthmoving work;Test drilling and boring work;Works for complete or part construction and civil engineering work;Building construction work;Engineering works and construction works;Construction work for pipelines, communication and power lines, for highways, roads, airfields and railways; flatwork;Construction work for water projects;Construction works for plants, mining and manufacturing and for buildings relating to the oil and gas industry;Roof works and other special trade construction works;Building installation work;Electrical installation work;Insulation work;Plumbing and sanitary works;Fencing, railing and safety equipment installation work;Mechanical installations;Building completion work;Plastering work;Joinery and carpentry installation work;Floor and wall covering work;Painting and glazing work;Other building completion work;Hire of construction and civil engineering machinery and equipment with operator;Hire of cranes with operator;Hire of earthmoving equipment with operator",02-Aug-2026 21:10,19-Aug-2026 16:00,"a) Up-to-date Valid trade license, Vat registration Certificate, Income tax Clearance Certificate. d) The minimum amount of liquid assets or working capital or credit facilities of the Tenderer shall be Tk. 6000000.00 (Sixty Lakhs) (If the liquid assets is a bank statement then the amount in the bank statement should remain till the next working day.) e) Having expirience in Successful completion of at least One (01) No similar nature work (Building work) amounting Tk. 5000000.00 (Fifty Lakhs) within the last Five (05) years, years counting backward from the date of publication of IFT in the newspaper. f) The required average annual construction turnover shall be greater than Tk. 5000000.00 (Fifty Lakhs) over the last Five (05) years. Total = Tk.5000000.00 x 5 = Tk. 25000000.00 (Two Crore Fifty Lakhs). g) The minimum Tender Capacity shall be 7000000.00 (Seventy Lakhs) g) Work done bill will be paid in accordence with fund availablity. h) Other criteria are stated in TDS & PCC","Vertical Extension of the Academic Building (FY.2024-25) at Shahid Zia Degree College, Gabtoli Upazila, Bogura Dristrict.(RMS ID # 1053393)",Lot wise,Package wise,Package wise,2500,Payment through Bank,15-Jan-2027,15-Jan-2027,1,"Vertical Extension of the Academic Building  (FY.2024-25) at Shahid Zia Degree College, Gabtoli Upazila, Bogura Dristrict.(RMS ID # 1053393)","Gabtali, Bogura",250000,22-Oct-2026,21-Oct-2027,Md. Anwer Hossain,Executive Engineer,"Address : District Education Bhaban, Bagra. City : Bogra Thana : Bogura Sadar District : Bogura - 5800 Country : Bangladesh","District Education Bhaban, Bagra.",Bogra,Bogura Sadar,Bogura - 5800,051-65939,Not Found,https://www.eprocure.gov.bd/resources/common/ViewTender.jsp?id=1314412
Ministry of Education,Secondary and Higher Education Division,Education Engineering Department,"Office of the Executive Engineer, EED,Bogra, District.",29,Bogura,Works,NCT,TENDER,Tender - Single Lot,"37.07.0000.014.20.101.24-7314(1),  Date 07-07-2026",228910,1314411,Open Tendering Method (OTM),Revenue,Government,1250301-120001602-3258108,Repair/Renovation of Non-Govt. Educational Institutions,"eed/bog/p-2622 Vertical Extension (2nd, 3rd, and 4th Floors)  of the Existing Building Including Repair and Renovation Works (FY.2024-25) at Betgary Mir Shaha Alm Girls' High School, Shibganj Upazila, Bogura Dristrict.(RMS ID # 1053385)","Construction work;Site preparation work;Building demolition and wrecking work and earthmoving work;Test drilling and boring work;Works for complete or part construction and civil engineering work;Building construction work;Engineering works and construction works;Construction work for pipelines, communication and power lines, for highways, roads, airfields and railways; flatwork;Construction work for water projects;Construction works for plants, mining and manufacturing and for buildings relating to the oil and gas industry;Roof works and other special trade construction works;Building installation work;Electrical installation work;Insulation work;Plumbing and sanitary works;Fencing, railing and safety equipment installation work;Mechanical installations;Building completion work;Plastering work;Joinery and carpentry installation work;Floor and wall covering work;Painting and glazing work;Other building completion work;Hire of construction and civil engineering machinery and equipment with operator;Hire of cranes with operator;Hire of earthmoving equipment with operator",02-Aug-2026 21:00,19-Aug-2026 16:00,"a) Up-to-date Valid trade license, Vat registration Certificate, NID, Tax return slip and Income tax Clearance Certificate. d) The minimum amount of liquid assets or working capital or credit facilities of the Tenderer shall be Tk. 12000000.00 (One hundred Twenty Lakhs) (If the liquid assets is a bank statement then the amount in the bank statement should remain till the next working day.) e) Having experience in Successful completion of at least One (01) No similar nature work (Building work) amounting Tk. 12000000.00 (One hundred Twenty Lakhs) within the last Five (05) years, years counting backward from the date of publication of IFT in the newspaper. f) The required average annual construction turnover shall be greater than Tk. 12000000.00 (One hundred Twenty Lakhs) over the last Five (05) years. Total = Tk.12000000.00 x 5 = Tk. 60000000.00 (Six Crore). g) The minimum Tender Capacity shall be 15000000.00 (One hundred Fifty Lakhs) g) Work done bill will be paid in accordence with fund availablity. h) Other criteria are stated in TDS & PCC","Vertical Extension (2nd, 3rd, and 4th Floors) of the Existing Building Including Repair and Renovation Works (FY.2024-25) at Betgary Mir Shaha Alm Girls' High School, Shibganj Upazila, Bogura Dristrict.(RMS ID # 1053385)",Lot wise,Package wise,Package wise,4000,Payment through Bank,15-Jan-2027,15-Jan-2027,1,"Vertical Extension (2nd, 3rd, and 4th Floors)  of the Existing Building Including Repair and Renovation Works (FY.2024-25) at Betgary Mir Shaha Alm Girls' High School, Shibganj Upazila, Bogura Dristrict.(RMS ID # 1053385)","Shibganj, Bogura",600000,22-Oct-2026,21-Oct-2027,Md. Anwer Hossain,Executive Engineer,"Address : District Education Bhaban, Bagra. City : Bogra Thana : Bogura Sadar District : Bogura - 5800 Country : Bangladesh","District Education Bhaban, Bagra.",Bogra,Bogura Sadar,Bogura - 5800,051-65939,Not Found,https://www.eprocure.gov.bd/resources/common/ViewTender.jsp?id=1314411
Ministry of Local Government,Rural Development and Co-operatives,Gazipur City Corporation,Widening of main connecting road in various zone including construction drain & footpath at Gazipur city corporation. (1st Revision),,Gazipur,Works,NCT,TENDER,Tender - Single Lot,46.19.0000.018.07.001.23-481; Date:02.08.2026,227696,1314110,Open Tendering Method (OTM),Development,"Government, Own fund",GCC-3828,Widening of main connecting road in various zone including construction drain & footpath at Gazipur city corporation,GCC-Zone-07-RD-10B (1) (R-10:A) Improvement of BC/RCC Road from Zorun Lokku Market to Konabari Bus Stand. Ch:1+000-2+010  (2) (D-10:B) Construction of RCC Drain from Zorun Lokku Market to Konabari Bus Stand. Ch:1+000-2+010,"Construction work;Site preparation work;Building demolition and wrecking work and earthmoving work;Test drilling and boring work;Works for complete or part construction and civil engineering work;Building construction work;Engineering works and construction works;Construction work for pipelines, communication and power lines, for highways, roads, airfields and railways; flatwork;Construction work for water projects;Construction works for plants, mining and manufacturing and for buildings relating to the oil and gas industry;Roof works and other special trade construction works;Building installation work;Electrical installation work;Insulation work;Plumbing and sanitary works;Fencing, railing and safety equipment installation work;Mechanical installations;Building completion work;Plastering work;Joinery and carpentry installation work;Floor and wall covering work;Painting and glazing work;Other building completion work;Hire of construction and civil engineering machinery and equipment with operator;Hire of cranes with operator;Hire of earthmoving equipment with operator",02-Aug-2026 20:45,01-Sep-2026 11:00,"13.1 (a)The minimum number of years of general experience of the Tenderer in the construction works as Prime Contractor or Subcontractor or Management Contractor shall be 5 (Five) years. (Only Payment Completion Certificates for construction works, issued by relevant Procuring Entity(ies) will be considered as general experience) 13.1 (b)The minimum specific experience as a Prime Contractor or Subcontractor or Management Contractor in construction works of at least 1 (one) number of contract of similar nature (RCC Road & RCC Drain/RCC Pipe Drain in same contract), complexity and methods/construction technology successfully completed within the last 5 (Five) years, with a value of BDT 13,85,00,000.00 14.1 (b) the average annual construction turnover under the public sector as specified in the TDS during the period specified in the TDS; The required average annual construction turnover shall be greater than BDT 21,35,00,000.00 over the last 5 (Five) years. (Only Payment received Certificates for construction works, issued by relevant Procuring Entity(ies) will be considered as construction turnover) 14.1 (c) availability of minimum financial resources in any form or combination of forms of liquid assets or credit line(s) or working capital, net of other contractual commitments of the amount as specified in the TDS; and The minimum amount of liquid assets or working capital or credit facilities of the Tenderer shall be BDT 4,26,00,000.00 14.1 (d) The minimum capacity shall be: Tk-13,28,00,000.00",GCC-Zone-07-RD-10B (1) (R-10:A) Improvement of BC/RCC Road from Zorun Lokku Market to Konabari Bus Stand. Ch:1+000-2+010 (2) (D-10:B) Construction of RCC Drain from Zorun Lokku Market to Konabari Bus Stand. Ch:1+000-2+010,Lot wise,Package wise,Package wise,5000,Payment through Bank,26-Feb-2027,26-Feb-2027,Single,"(1) (R-10:A) Improvement of RCC Road from Zorun Lokku Market to Konabari Bus Stand. Ch:1+000-2+010 
(2) (D-10:B) Construction of RCC Drain from Zorun Lokku Market to Konabari Bus Stand. Ch:1+000-2+010",Zone-07,4334000,29-Oct-2026,30-Nov-2027,MD. LEHAZ UDDIN,superintending Engineer,"Address : Nagar Bhabon, Gazipur city corporation. City : Gazipur city corporation Thana : Gazipur Sadar District : Gazipur - 1700 Country : Bangladesh","Nagar Bhabon, Gazipur city corporation.",Gazipur city corporation,Gazipur Sadar,Gazipur - 1700,02-49273205,Not Found,https://www.eprocure.gov.bd/resources/common/ViewTender.jsp?id=1314110
Ministry of Local Government,Rural Development and Co-operatives,Department of Public Health Engineering (DPHE),"Office of the Executive Engineer,DPHE, Manikgonj",,Manikganj,Works,NCT,TENDER,Tender - Single Lot,223686,223686,1309033,Open Tendering Method (OTM),Development,Government,224415000,Rural Sanitation Project.,WDTPL-12 Construction of Improve Latrine (Twin pit Latrine) at Sadar upazila in Manikganj District under Rural Sanitation Project FY 2025-26,"Construction work;Site preparation work;Building demolition and wrecking work and earthmoving work;Test drilling and boring work;Works for complete or part construction and civil engineering work;Building construction work;Engineering works and construction works;Construction work for pipelines, communication and power lines, for highways, roads, airfields and railways; flatwork;Construction work for water projects;Construction works for plants, mining and manufacturing and for buildings relating to the oil and gas industry;Roof works and other special trade construction works;Building installation work;Electrical installation work;Insulation work;Plumbing and sanitary works;Fencing, railing and safety equipment installation work;Mechanical installations;Building completion work;Plastering work;Joinery and carpentry installation work;Floor and wall covering work;Painting and glazing work;Other building completion work;Hire of construction and civil engineering machinery and equipment with operator;Hire of cranes with operator;Hire of earthmoving equipment with operator",02-Aug-2026 20:30,23-Aug-2026 16:00,As per TDS.,WDTPL-12 Construction of 850 nos Improve Latrine (Twin pit Latrine) at Sadar upazila in Manikganj District under Rural Sanitation Project FY 2025-26,Lot wise,Package wise,Package wise,4000,Payment through Bank,19-Jan-2027,19-Jan-2027,1,Construction of Improve Latrine (Twin pit Latrine) at Sadar upazila in Manikganj District under Rural Sanitation Project FY 2025-26,Manikganj Sadar,1500000,25-Oct-2026,30-Mar-2028,Gazi Fatima Ferdous,Executive Engineer,"Address : Office of the Executive Engineer,DPHE, Manikgonj City : Manikganj Thana : Manikganj District : Manikganj - 1800 Country : Bangladesh","Office of the Executive Engineer,DPHE, Manikgonj",Manikganj,Manikganj,Manikganj - 1800,02-7710398,"54200000.00,OTM",https://www.eprocure.gov.bd/resources/common/ViewTender.jsp?id=1309033
Ministry of Local Government,Rural Development and Co-operatives,Department of Public Health Engineering (DPHE),"Office of the Executive Engineer,DPHE, Manikgonj",,Manikganj,Works,NCT,TENDER,Tender - Single Lot,223686,223686,1309203,Open Tendering Method (OTM),Development,Government,224415000,Rural Sanitation Project.,"WDTPL-15 Construction of Improve Latrine (Twin pit Latrine) at Singair upazila in Manikganj District under Rural Sanitation Project, FY 2025-26.","Construction work;Site preparation work;Building demolition and wrecking work and earthmoving work;Test drilling and boring work;Works for complete or part construction and civil engineering work;Building construction work;Engineering works and construction works;Construction work for pipelines, communication and power lines, for highways, roads, airfields and railways; flatwork;Construction work for water projects;Construction works for plants, mining and manufacturing and for buildings relating to the oil and gas industry;Roof works and other special trade construction works;Building installation work;Electrical installation work;Insulation work;Plumbing and sanitary works;Fencing, railing and safety equipment installation work;Mechanical installations;Building completion work;Plastering work;Joinery and carpentry installation work;Floor and wall covering work;Painting and glazing work;Other building completion work;Hire of construction and civil engineering machinery and equipment with operator;Hire of cranes with operator;Hire of earthmoving equipment with operator",02-Aug-2026 20:30,23-Aug-2026 16:00,As per TDS.,"WDTPL-15 Construction of 935 nos Improve Latrine (Twin pit Latrine) at Singair upazila in Manikganj District under Rural Sanitation Project, FY 2025-26.",Lot wise,Package wise,Package wise,4000,Payment through Bank,19-Jan-2027,19-Jan-2027,1,"Construction of Improve Latrine (Twin pit Latrine) at Singair upazila in Manikganj District under Rural Sanitation Project, FY 2025-26.","Singair,manikganj",1700000,25-Oct-2026,30-Mar-2028,Gazi Fatima Ferdous,Executive Engineer,"Address : Office of the Executive Engineer,DPHE, Manikgonj City : Manikganj Thana : Manikganj District : Manikganj - 1800 Country : Bangladesh","Office of the Executive Engineer,DPHE, Manikgonj",Manikganj,Manikganj,Manikganj - 1800,02-7710398,"59700000.00,OTM",https://www.eprocure.gov.bd/resources/common/ViewTender.jsp?id=1309203
